设备编号,故障次数,累计修复时间,MTTR(h),MTBF(h),设备可用率,设备名称,设备类型,电压等级,所属变电站,所属区域,制造商,投运日期,设计寿命（年）,已运行年限,额定参数,运行状态
EQ-0214,1,12.9,12.9,29507.1,0.9995630081300813,昆山35kV_避雷器_03,避雷器,35kV,昆山35kV变电站,华东,浙江金利华,2005-10-05,20,21,rated_voltage_kv=166.7,备用
EQ-0216,1,4.6,4.6,29515.4,0.9998441734417345,亦庄110kV_电力变压器_02,电力变压器,110kV,亦庄110kV变电站,华北,西门子,2013-02-17,30,13,rated_capacity_mva=138.7; rated_current_a=117.5,检修停运
EQ-0217,2,33.2,16.6,14743.4,0.9988753387533875,亦庄110kV_电力变压器_03,电力变压器,110kV,亦庄110kV变电站,华北,保变电气,2012-07-21,30,14,rated_capacity_mva=219.1; rated_current_a=512.2,正常运行
EQ-0219,1,5.0,5.0,29515.0,0.9998306233062331,亦庄110kV_断路器_02,断路器,110kV,亦庄110kV变电站,华北,平高电气,2014-02-16,25,12,rated_current_a=3408.6; breaking_capacity_ka=36.3,正常运行
EQ-0220,1,15.3,15.3,29504.7,0.9994817073170732,亦庄110kV_断路器_03,断路器,110kV,亦庄110kV变电站,华北,河南森源,2014-11-15,25,12,rated_current_a=3516.0; breaking_capacity_ka=50.8,正常运行
EQ-0221,2,23.0,11.5,14748.5,0.9992208672086721,亦庄110kV_断路器_04,断路器,35kV,亦庄110kV变电站,华北,沈阳高开,2011-03-28,25,15,rated_current_a=3515.8; breaking_capacity_ka=33.0,正常运行
EQ-0223,1,10.2,10.2,29509.8,0.9996544715447154,亦庄110kV_断路器_06,断路器,110kV,亦庄110kV变电站,华北,沈阳高开,2015-11-19,25,11,rated_current_a=1413.3; breaking_capacity_ka=45.3,带病运行
EQ-0232,3,18.1,6.033333333333334,9833.966666666667,0.9993868563685637,亦庄110kV_避雷器_02,避雷器,110kV,亦庄110kV变电站,华北,中国西电,2012-07-13,20,14,rated_voltage_kv=129.5,检修停运
EQ-0233,1,9.4,9.4,29510.6,0.9996815718157182,亦庄110kV_避雷器_03,避雷器,35kV,亦庄110kV变电站,华北,浙江金利华,2011-08-07,20,15,rated_voltage_kv=163.0,正常运行
EQ-0238,2,17.4,8.7,14751.3,0.999410569105691,通州35kV_电力变压器_01,电力变压器,35kV,通州35kV变电站,华北,西电集团,2007-02-12,30,19,rated_capacity_mva=34.9; rated_current_a=453.0,正常运行
EQ-0239,2,14.0,7.0,14753.0,0.9995257452574525,通州35kV_电力变压器_02,电力变压器,35kV,通州35kV变电站,华北,西门子,2014-05-08,30,12,rated_capacity_mva=72.5; rated_current_a=574.7,正常运行
EQ-0240,1,12.7,12.7,29507.3,0.999569783197832,通州35kV_断路器_01,断路器,35kV,通州35kV变电站,华北,平高电气,2013-11-01,25,13,rated_current_a=3890.5; breaking_capacity_ka=53.0,正常运行
EQ-0242,1,6.9,6.9,29513.1,0.9997662601626016,通州35kV_断路器_03,断路器,35kV,通州35kV变电站,华北,平高电气,2013-05-02,25,13,rated_current_a=3014.0; breaking_capacity_ka=36.9,正常运行
EQ-0243,1,12.1,12.1,29507.9,0.9995901084010841,通州35kV_断路器_04,断路器,35kV,通州35kV变电站,华北,ABB,2012-08-14,25,14,rated_current_a=1981.8; breaking_capacity_ka=33.6,正常运行
EQ-0248,3,61.0,20.333333333333332,9819.666666666666,0.9979336043360434,通州35kV_电容器组_02,电容器组,35kV,通州35kV变电站,华北,思源电气,2009-12-27,20,17,rated_capacity_mvar=8.8,正常运行
EQ-0249,2,30.0,15.0,14745.0,0.9989837398373984,通州35kV_避雷器_01,避雷器,35kV,通州35kV变电站,华北,浙江金利华,2014-05-27,20,12,rated_voltage_kv=64.1,正常运行
EQ-0250,1,2.6,2.6,29517.4,0.9999119241192412,通州35kV_避雷器_02,避雷器,35kV,通州35kV变电站,华北,ABB,2011-10-23,20,15,rated_voltage_kv=146.6,正常运行
EQ-0253,3,38.6,12.866666666666667,9827.133333333333,0.9986924119241193,天津滨海220kV_电力变压器_02,电力变压器,110kV,天津滨海220kV变电站,华北,特变电工,2011-11-06,30,15,rated_capacity_mva=62.3; rated_current_a=624.8,正常运行
EQ-0254,2,6.3,3.15,14756.85,0.9997865853658536,天津滨海220kV_电力变压器_03,电力变压器,220kV,天津滨海220kV变电站,华北,特变电工,2014-09-03,30,12,rated_capacity_mva=176.6; rated_current_a=338.0,正常运行
EQ-0256,1,2.7,2.7,29517.3,0.9999085365853658,天津滨海220kV_断路器_01,断路器,220kV,天津滨海220kV变电站,华北,ABB,2009-04-22,25,17,rated_current_a=3594.3; breaking_capacity_ka=35.8,正常运行
EQ-0260,3,81.9,27.3,9812.699999999999,0.9972256097560975,天津滨海220kV_断路器_05,断路器,220kV,天津滨海220kV变电站,华北,ABB,2009-12-18,25,17,rated_current_a=2215.8; breaking_capacity_ka=47.8,正常运行
EQ-0262,2,6.9,3.45,14756.55,0.9997662601626016,天津滨海220kV_断路器_07,断路器,220kV,天津滨海220kV变电站,华北,西门子,2015-10-04,25,11,rated_current_a=3764.4; breaking_capacity_ka=34.2,正常运行
EQ-0264,1,2.7,2.7,29517.3,0.9999085365853658,天津滨海220kV_隔离开关_01,隔离开关,35kV,天津滨海220kV变电站,华北,长征电气,2009-03-16,30,17,rated_current_a=1821.3,正常运行
EQ-0267,1,33.3,33.3,29486.7,0.9988719512195122,天津滨海220kV_隔离开关_04,隔离开关,220kV,天津滨海220kV变电站,华北,长征电气,2010-04-10,30,16,rated_current_a=1988.8,正常运行
EQ-0269,1,2.7,2.7,29517.3,0.9999085365853658,天津滨海220kV_隔离开关_06,隔离开关,110kV,天津滨海220kV变电站,华北,长征电气,2008-11-02,30,18,rated_current_a=1428.2,正常运行
EQ-0270,1,36.5,36.5,29483.5,0.9987635501355013,天津滨海220kV_电容器组_01,电容器组,10kV,天津滨海220kV变电站,华北,思源电气,2010-04-13,20,16,rated_capacity_mvar=34.9,正常运行
EQ-0271,3,35.0,11.666666666666666,9828.333333333334,0.9988143631436315,天津滨海220kV_电容器组_02,电容器组,10kV,天津滨海220kV变电站,华北,ABB,2010-05-26,20,16,rated_capacity_mvar=13.5,正常运行
EQ-0275,1,2.1,2.1,29517.9,0.999928861788618,天津滨海220kV_避雷器_03,避雷器,35kV,天津滨海220kV变电站,华北,ABB,2012-12-11,20,14,rated_voltage_kv=39.6,带病运行
EQ-0276,4,88.7,22.175,7357.825,0.9969952574525744,天津滨海220kV_避雷器_04,避雷器,220kV,天津滨海220kV变电站,华北,中国西电,2008-07-09,20,18,rated_voltage_kv=101.4,正常运行
EQ-0277,1,54.4,54.4,29465.6,0.9981571815718157,天津滨海220kV_避雷器_05,避雷器,35kV,天津滨海220kV变电站,华北,河南久盛,2011-05-06,20,15,rated_voltage_kv=128.8,正常运行
EQ-0280,2,20.5,10.25,14749.75,0.9993055555555556,天津滨海220kV_GIS组合电器_02,GIS组合电器,220kV,天津滨海220kV变电站,华北,西电集团,2008-08-01,35,18,rated_current_a=3485.9; sf6_pressure_mpa=0.4,带病运行
EQ-0281,2,55.599999999999994,27.799999999999997,14732.2,0.9981165311653117,天津滨海220kV_GIS组合电器_03,GIS组合电器,220kV,天津滨海220kV变电站,华北,西电集团,2009-03-12,35,17,rated_current_a=2225.6; sf6_pressure_mpa=0.5,正常运行
EQ-0283,1,12.0,12.0,29508.0,0.9995934959349594,石家庄高新35kV_电力变压器_02,电力变压器,35kV,石家庄高新35kV变电站,华北,特变电工,2010-09-06,30,16,rated_capacity_mva=41.9; rated_current_a=141.3,正常运行
EQ-0284,1,1.2,1.2,29518.8,0.9999593495934959,石家庄高新35kV_断路器_01,断路器,35kV,石家庄高新35kV变电站,华北,ABB,2012-07-27,25,14,rated_current_a=1731.7; breaking_capacity_ka=32.2,检修停运
EQ-0286,1,75.1,75.1,29444.9,0.9974559620596206,石家庄高新35kV_断路器_03,断路器,110kV,石家庄高新35kV变电站,华北,沈阳高开,2007-09-09,25,19,rated_current_a=1297.1; breaking_capacity_ka=52.7,正常运行
EQ-0287,1,7.4,7.4,29512.6,0.9997493224932249,石家庄高新35kV_隔离开关_01,隔离开关,35kV,石家庄高新35kV变电站,华北,西门子,2010-09-07,30,16,rated_current_a=2435.1,正常运行
EQ-0288,1,6.5,6.5,29513.5,0.999779810298103,石家庄高新35kV_隔离开关_02,隔离开关,35kV,石家庄高新35kV变电站,华北,西门子,2006-04-10,30,20,rated_current_a=2294.7,正常运行
EQ-0290,3,21.5,7.166666666666667,9832.833333333334,0.9992716802168021,石家庄高新35kV_电容器组_01,电容器组,35kV,石家庄高新35kV变电站,华北,思源电气,2009-09-15,20,17,rated_capacity_mvar=22.2,正常运行
EQ-0291,1,57.1,57.1,29462.9,0.9980657181571816,石家庄高新35kV_电容器组_02,电容器组,35kV,石家庄高新35kV变电站,华北,荣信股份,2013-04-22,20,13,rated_capacity_mvar=23.8,正常运行
EQ-0292,3,13.1,4.366666666666666,9835.633333333333,0.9995562330623307,石家庄高新35kV_避雷器_01,避雷器,35kV,石家庄高新35kV变电站,华北,ABB,2007-10-18,20,19,rated_voltage_kv=192.4,正常运行
EQ-0293,1,2.5,2.5,29517.5,0.9999153116531165,石家庄高新35kV_避雷器_02,避雷器,35kV,石家庄高新35kV变电站,华北,中国西电,2007-05-12,20,19,rated_voltage_kv=61.2,正常运行
EQ-0294,4,59.4,14.85,7365.15,0.9979878048780487,石家庄高新35kV_避雷器_03,避雷器,35kV,石家庄高新35kV变电站,华北,西门子,2009-05-26,20,17,rated_voltage_kv=135.1,正常运行
EQ-0295,2,8.2,4.1,14755.9,0.9997222222222222,武昌110kV_电力变压器_01,电力变压器,110kV,武昌110kV变电站,华中,特变电工,2011-04-20,30,15,rated_capacity_mva=108.7; rated_current_a=162.0,正常运行
EQ-0296,1,5.4,5.4,29514.6,0.9998170731707317,武昌110kV_电力变压器_02,电力变压器,110kV,武昌110kV变电站,华中,特变电工,2013-09-19,30,13,rated_capacity_mva=105.1; rated_current_a=602.0,正常运行
EQ-0299,1,7.2,7.2,29512.8,0.9997560975609756,武昌110kV_断路器_02,断路器,110kV,武昌110kV变电站,华中,西门子,2014-03-07,25,12,rated_current_a=1967.9; breaking_capacity_ka=35.4,正常运行
EQ-0300,3,36.6,12.200000000000001,9827.800000000001,0.998760162601626,武昌110kV_断路器_03,断路器,35kV,武昌110kV变电站,华中,平高电气,2010-05-22,25,16,rated_current_a=3407.2; breaking_capacity_ka=38.5,备用
EQ-0301,4,77.0,19.25,7360.75,0.9973915989159892,武昌110kV_断路器_04,断路器,110kV,武昌110kV变电站,华中,平高电气,2010-08-06,25,16,rated_current_a=2037.4; breaking_capacity_ka=44.2,正常运行
EQ-0302,1,2.4,2.4,29517.6,0.9999186991869918,武昌110kV_断路器_05,断路器,220kV,武昌110kV变电站,华中,西门子,2010-07-15,25,16,rated_current_a=1633.6; breaking_capacity_ka=38.1,备用
EQ-0303,2,12.6,6.3,14753.7,0.9995731707317074,武昌110kV_隔离开关_01,隔离开关,110kV,武昌110kV变电站,华中,河南森源,2011-01-21,30,15,rated_current_a=1803.5,带病运行
EQ-0305,1,11.9,11.9,29508.1,0.9995968834688347,武昌110kV_隔离开关_03,隔离开关,110kV,武昌110kV变电站,华中,西门子,2012-12-11,30,14,rated_current_a=1263.2,正常运行
EQ-0306,1,80.8,80.8,29439.2,0.9972628726287263,武昌110kV_隔离开关_04,隔离开关,110kV,武昌110kV变电站,华中,河南森源,2012-09-04,30,14,rated_current_a=2917.4,正常运行
EQ-0307,1,8.3,8.3,29511.7,0.9997188346883469,武昌110kV_电容器组_01,电容器组,35kV,武昌110kV变电站,华中,九州电气,2011-11-22,20,15,rated_capacity_mvar=7.0,正常运行
EQ-0309,2,24.200000000000003,12.100000000000001,14747.9,0.999180216802168,武昌110kV_避雷器_01,避雷器,110kV,武昌110kV变电站,华中,ABB,2013-02-04,20,13,rated_voltage_kv=215.3,正常运行
EQ-0310,1,1.8,1.8,29518.2,0.999939024390244,武昌110kV_避雷器_02,避雷器,110kV,武昌110kV变电站,华中,河南久盛,2015-11-10,20,11,rated_voltage_kv=147.2,正常运行
EQ-0312,1,5.2,5.2,29514.8,0.9998238482384824,武昌110kV_避雷器_04,避雷器,110kV,武昌110kV变电站,华中,河南久盛,2011-01-03,20,15,rated_voltage_kv=72.1,正常运行
EQ-0316,6,101.3,16.883333333333333,4903.116666666667,0.9965684281842818,江夏35kV_断路器_01,断路器,220kV,江夏35kV变电站,华中,西门子,2009-02-03,25,17,rated_current_a=3293.7; breaking_capacity_ka=40.0,检修停运
EQ-0317,1,4.6,4.6,29515.4,0.9998441734417345,江夏35kV_断路器_02,断路器,220kV,江夏35kV变电站,华中,河南森源,2007-10-20,25,19,rated_current_a=2258.0; breaking_capacity_ka=56.3,正常运行
EQ-0318,1,14.9,14.9,29505.1,0.9994952574525745,江夏35kV_断路器_03,断路器,35kV,江夏35kV变电站,华中,平高电气,2009-03-11,25,17,rated_current_a=1312.4; breaking_capacity_ka=44.4,检修停运
EQ-0320,1,7.8,7.8,29512.2,0.9997357723577236,江夏35kV_隔离开关_02,隔离开关,35kV,江夏35kV变电站,华中,西门子,2007-12-03,30,19,rated_current_a=3115.1,正常运行
EQ-0322,1,9.3,9.3,29510.7,0.9996849593495936,江夏35kV_电容器组_01,电容器组,35kV,江夏35kV变电站,华中,西门子,2010-06-02,20,16,rated_capacity_mvar=26.4,正常运行
EQ-0323,1,15.6,15.6,29504.4,0.9994715447154472,江夏35kV_电容器组_02,电容器组,35kV,江夏35kV变电站,华中,西门子,2009-08-07,20,17,rated_capacity_mvar=31.3,正常运行
EQ-0325,1,10.3,10.3,29509.7,0.9996510840108401,江夏35kV_避雷器_02,避雷器,110kV,江夏35kV变电站,华中,浙江金利华,2012-09-21,20,14,rated_voltage_kv=131.7,正常运行
EQ-0326,3,33.5,11.166666666666666,9828.833333333334,0.9988651761517615,江夏35kV_避雷器_03,避雷器,35kV,江夏35kV变电站,华中,ABB,2011-09-09,20,15,rated_voltage_kv=72.4,正常运行
EQ-0328,2,19.0,9.5,14750.5,0.9993563685636856,长沙星沙110kV_电力变压器_02,电力变压器,110kV,长沙星沙110kV变电站,华中,西电集团,2018-08-27,30,8,rated_capacity_mva=47.7; rated_current_a=196.2,正常运行
EQ-0329,1,3.0,3.0,29517.0,0.9998983739837398,长沙星沙110kV_电力变压器_03,电力变压器,110kV,长沙星沙110kV变电站,华中,保变电气,2015-07-08,30,11,rated_capacity_mva=156.8; rated_current_a=82.8,正常运行
EQ-0330,3,30.1,10.033333333333333,9829.966666666667,0.9989803523035231,长沙星沙110kV_断路器_01,断路器,35kV,长沙星沙110kV变电站,华中,西门子,2016-03-14,25,10,rated_current_a=3658.1; breaking_capacity_ka=40.2,备用
EQ-0332,1,10.8,10.8,29509.2,0.9996341463414634,长沙星沙110kV_断路器_03,断路器,110kV,长沙星沙110kV变电站,华中,西门子,2014-08-13,25,12,rated_current_a=2796.6; breaking_capacity_ka=45.5,带病运行
EQ-0333,1,4.5,4.5,29515.5,0.9998475609756098,长沙星沙110kV_断路器_04,断路器,110kV,长沙星沙110kV变电站,华中,西门子,2014-10-09,25,12,rated_current_a=2301.9; breaking_capacity_ka=35.2,正常运行
EQ-0334,1,11.9,11.9,29508.1,0.9995968834688347,长沙星沙110kV_断路器_05,断路器,110kV,长沙星沙110kV变电站,华中,ABB,2018-09-09,25,8,rated_current_a=3327.1; breaking_capacity_ka=37.7,正常运行
EQ-0335,1,2.7,2.7,29517.3,0.9999085365853658,长沙星沙110kV_隔离开关_01,隔离开关,110kV,长沙星沙110kV变电站,华中,长征电气,2011-03-20,30,15,rated_current_a=1796.8,正常运行
EQ-0336,1,9.6,9.6,29510.4,0.9996747967479676,长沙星沙110kV_隔离开关_02,隔离开关,110kV,长沙星沙110kV变电站,华中,西门子,2013-08-18,30,13,rated_current_a=1171.2,正常运行
EQ-0346,3,124.0,41.333333333333336,9798.666666666666,0.9957994579945799,武侯110kV_电力变压器_01,电力变压器,110kV,武侯110kV变电站,西南,特变电工,2013-09-18,30,13,rated_capacity_mva=85.6; rated_current_a=433.7,正常运行
EQ-0347,1,2.4,2.4,29517.6,0.9999186991869918,武侯110kV_电力变压器_02,电力变压器,110kV,武侯110kV变电站,西南,保变电气,2014-10-05,30,12,rated_capacity_mva=40.5; rated_current_a=210.7,正常运行
EQ-0349,2,47.9,23.95,14736.05,0.9983773712737127,武侯110kV_断路器_01,断路器,110kV,武侯110kV变电站,西南,河南森源,2012-07-10,25,14,rated_current_a=3681.5; breaking_capacity_ka=40.2,正常运行
EQ-0351,2,22.8,11.4,14748.6,0.9992276422764228,武侯110kV_断路器_03,断路器,35kV,武侯110kV变电站,西南,ABB,2018-08-02,25,8,rated_current_a=2064.3; breaking_capacity_ka=40.1,正常运行
EQ-0352,3,83.1,27.7,9812.300000000001,0.9971849593495935,武侯110kV_断路器_04,断路器,110kV,武侯110kV变电站,西南,西门子,2017-12-14,25,9,rated_current_a=2980.7; breaking_capacity_ka=40.4,正常运行
EQ-0354,2,27.1,13.55,14746.45,0.9990819783197833,武侯110kV_隔离开关_01,隔离开关,110kV,武侯110kV变电站,西南,长征电气,2015-02-17,30,11,rated_current_a=2017.7,正常运行
EQ-0358,1,2.3,2.3,29517.7,0.9999220867208672,武侯110kV_电容器组_01,电容器组,10kV,武侯110kV变电站,西南,ABB,2011-02-20,20,15,rated_capacity_mvar=12.2,正常运行
EQ-0359,1,7.9,7.9,29512.1,0.9997323848238482,武侯110kV_电容器组_02,电容器组,35kV,武侯110kV变电站,西南,思源电气,2016-12-10,20,10,rated_capacity_mvar=30.4,正常运行
EQ-0361,1,5.7,5.7,29514.3,0.9998069105691056,武侯110kV_避雷器_02,避雷器,110kV,武侯110kV变电站,西南,浙江金利华,2016-10-14,20,10,rated_voltage_kv=72.9,备用
EQ-0363,1,15.2,15.2,29504.8,0.9994850948509485,武侯110kV_避雷器_04,避雷器,110kV,武侯110kV变电站,西南,ABB,2016-12-23,20,10,rated_voltage_kv=122.6,正常运行
EQ-0364,1,5.6,5.6,29514.4,0.999810298102981,武侯110kV_GIS组合电器_01,GIS组合电器,110kV,武侯110kV变电站,西南,西门子,2016-07-15,35,10,rated_current_a=3958.6; sf6_pressure_mpa=0.5,正常运行
EQ-0365,1,48.8,48.8,29471.2,0.9983468834688347,重庆两江220kV_电力变压器_01,电力变压器,220kV,重庆两江220kV变电站,西南,保变电气,2009-02-19,30,17,rated_capacity_mva=43.3; rated_current_a=304.7,正常运行
EQ-0367,2,10.2,5.1,14754.9,0.9996544715447154,重庆两江220kV_电力变压器_03,电力变压器,220kV,重庆两江220kV变电站,西南,西电集团,2013-03-11,30,13,rated_capacity_mva=61.4; rated_current_a=430.9,正常运行
EQ-0370,1,9.0,9.0,29511.0,0.9996951219512196,重庆两江220kV_断路器_02,断路器,110kV,重庆两江220kV变电站,西南,平高电气,2012-09-15,25,14,rated_current_a=3725.2; breaking_capacity_ka=62.9,正常运行
EQ-0371,1,15.3,15.3,29504.7,0.9994817073170732,重庆两江220kV_断路器_03,断路器,220kV,重庆两江220kV变电站,西南,平高电气,2011-05-23,25,15,rated_current_a=1476.7; breaking_capacity_ka=55.3,正常运行
EQ-0372,4,111.39999999999999,27.849999999999998,7352.15,0.9962262872628725,重庆两江220kV_断路器_04,断路器,35kV,重庆两江220kV变电站,西南,河南森源,2010-01-24,25,16,rated_current_a=3167.1; breaking_capacity_ka=59.9,正常运行
EQ-0373,2,16.8,8.4,14751.6,0.9994308943089432,重庆两江220kV_断路器_05,断路器,220kV,重庆两江220kV变电站,西南,河南森源,2014-12-26,25,12,rated_current_a=2410.1; breaking_capacity_ka=56.0,正常运行
EQ-0374,2,12.9,6.45,14753.55,0.9995630081300813,重庆两江220kV_断路器_06,断路器,220kV,重庆两江220kV变电站,西南,沈阳高开,2012-03-04,25,14,rated_current_a=3434.7; breaking_capacity_ka=61.1,备用
EQ-0375,1,14.5,14.5,29505.5,0.9995088075880759,重庆两江220kV_断路器_07,断路器,35kV,重庆两江220kV变电站,西南,沈阳高开,2015-09-19,25,11,rated_current_a=1296.4; breaking_capacity_ka=59.5,正常运行
EQ-0376,1,4.5,4.5,29515.5,0.9998475609756098,重庆两江220kV_断路器_08,断路器,110kV,重庆两江220kV变电站,西南,平高电气,2010-09-18,25,16,rated_current_a=3059.4; breaking_capacity_ka=56.7,正常运行
EQ-0380,1,6.3,6.3,29513.7,0.9997865853658536,重庆两江220kV_隔离开关_04,隔离开关,220kV,重庆两江220kV变电站,西南,西门子,2015-03-20,30,11,rated_current_a=1658.8,正常运行
EQ-0381,1,30.7,30.7,29489.3,0.998960027100271,重庆两江220kV_隔离开关_05,隔离开关,220kV,重庆两江220kV变电站,西南,长征电气,2013-11-07,30,13,rated_current_a=1442.6,带病运行
EQ-0383,1,47.7,47.7,29472.3,0.9983841463414634,重庆两江220kV_电容器组_01,电容器组,10kV,重庆两江220kV变电站,西南,九州电气,2010-04-14,20,16,rated_capacity_mvar=26.3,正常运行
EQ-0384,1,13.0,13.0,29507.0,0.999559620596206,重庆两江220kV_电容器组_02,电容器组,35kV,重庆两江220kV变电站,西南,思源电气,2012-07-11,20,14,rated_capacity_mvar=13.5,检修停运
EQ-0385,1,14.7,14.7,29505.3,0.9995020325203252,重庆两江220kV_电容器组_03,电容器组,35kV,重庆两江220kV变电站,西南,荣信股份,2012-06-10,20,14,rated_capacity_mvar=21.5,正常运行
EQ-0388,1,5.7,5.7,29514.3,0.9998069105691056,重庆两江220kV_避雷器_03,避雷器,220kV,重庆两江220kV变电站,西南,中国西电,2011-03-18,20,15,rated_voltage_kv=89.0,正常运行
EQ-0391,1,12.6,12.6,29507.4,0.9995731707317074,重庆两江220kV_避雷器_06,避雷器,220kV,重庆两江220kV变电站,西南,中国西电,2013-12-02,20,13,rated_voltage_kv=206.3,正常运行
EQ-0392,1,7.9,7.9,29512.1,0.9997323848238482,重庆两江220kV_GIS组合电器_01,GIS组合电器,220kV,重庆两江220kV变电站,西南,平高电气,2014-04-11,35,12,rated_current_a=2702.1; sf6_pressure_mpa=0.5,正常运行
EQ-0393,3,66.3,22.099999999999998,9817.9,0.9977540650406505,重庆两江220kV_GIS组合电器_02,GIS组合电器,220kV,重庆两江220kV变电站,西南,ABB,2009-12-05,35,17,rated_current_a=2495.8; sf6_pressure_mpa=0.5,正常运行
EQ-0394,1,2.7,2.7,29517.3,0.9999085365853658,重庆两江220kV_GIS组合电器_03,GIS组合电器,220kV,重庆两江220kV变电站,西南,平高电气,2011-04-26,35,15,rated_current_a=3662.6; sf6_pressure_mpa=0.5,正常运行
EQ-0396,3,80.19999999999999,26.73333333333333,9813.266666666666,0.9972831978319783,成都高新35kV_电力变压器_02,电力变压器,35kV,成都高新35kV变电站,西南,特变电工,2014-12-20,30,12,rated_capacity_mva=201.4; rated_current_a=132.7,正常运行
EQ-0397,3,25.5,8.5,9831.5,0.9991361788617886,成都高新35kV_断路器_01,断路器,35kV,成都高新35kV变电站,西南,沈阳高开,2016-12-26,25,10,rated_current_a=3678.3; breaking_capacity_ka=47.1,正常运行
EQ-0398,3,36.4,12.133333333333333,9827.866666666667,0.9987669376693766,成都高新35kV_断路器_02,断路器,110kV,成都高新35kV变电站,西南,西门子,2012-06-23,25,14,rated_current_a=1851.9; breaking_capacity_ka=55.5,正常运行
EQ-0399,3,31.3,10.433333333333334,9829.566666666668,0.998939701897019,成都高新35kV_断路器_03,断路器,35kV,成都高新35kV变电站,西南,西门子,2016-01-05,25,10,rated_current_a=3739.3; breaking_capacity_ka=60.4,检修停运
EQ-0403,1,7.4,7.4,29512.6,0.9997493224932249,成都高新35kV_电容器组_01,电容器组,10kV,成都高新35kV变电站,西南,西门子,2013-06-10,20,13,rated_capacity_mvar=22.5,正常运行
EQ-0404,3,53.3,17.766666666666666,9822.233333333334,0.9981944444444445,成都高新35kV_电容器组_02,电容器组,35kV,成都高新35kV变电站,西南,思源电气,2019-10-09,20,7,rated_capacity_mvar=20.0,正常运行
EQ-0409,1,3.6,3.6,29516.4,0.9998780487804878,沈阳浑南110kV_电力变压器_02,电力变压器,110kV,沈阳浑南110kV变电站,东北,西门子,2012-05-15,30,14,rated_capacity_mva=220.5; rated_current_a=479.3,正常运行
EQ-0410,1,2.7,2.7,29517.3,0.9999085365853658,沈阳浑南110kV_电力变压器_03,电力变压器,35kV,沈阳浑南110kV变电站,东北,西电集团,2010-11-17,30,16,rated_capacity_mva=153.0; rated_current_a=365.0,正常运行
EQ-0411,1,5.1,5.1,29514.9,0.9998272357723578,沈阳浑南110kV_断路器_01,断路器,110kV,沈阳浑南110kV变电站,东北,ABB,2009-09-25,25,17,rated_current_a=1597.9; breaking_capacity_ka=41.4,正常运行
EQ-0412,1,10.2,10.2,29509.8,0.9996544715447154,沈阳浑南110kV_断路器_02,断路器,110kV,沈阳浑南110kV变电站,东北,ABB,2014-01-26,25,12,rated_current_a=3385.4; breaking_capacity_ka=62.0,正常运行
EQ-0415,4,70.3,17.575,7362.425,0.9976185636856368,沈阳浑南110kV_断路器_05,断路器,35kV,沈阳浑南110kV变电站,东北,西门子,2011-03-05,25,15,rated_current_a=2035.7; breaking_capacity_ka=33.7,检修停运
EQ-0417,1,12.5,12.5,29507.5,0.9995765582655827,沈阳浑南110kV_隔离开关_02,隔离开关,110kV,沈阳浑南110kV变电站,东北,西门子,2010-12-18,30,16,rated_current_a=3118.2,正常运行
EQ-0420,2,136.3,68.15,14691.85,0.9953827913279133,沈阳浑南110kV_电容器组_01,电容器组,10kV,沈阳浑南110kV变电站,东北,西门子,2014-06-28,20,12,rated_capacity_mvar=19.1,正常运行
EQ-0421,1,24.8,24.8,29495.2,0.999159891598916,沈阳浑南110kV_电容器组_02,电容器组,10kV,沈阳浑南110kV变电站,东北,ABB,2008-06-19,20,18,rated_capacity_mvar=17.3,正常运行
EQ-0422,1,28.7,28.7,29491.3,0.9990277777777777,沈阳浑南110kV_避雷器_01,避雷器,110kV,沈阳浑南110kV变电站,东北,浙江金利华,2009-08-20,20,17,rated_voltage_kv=91.2,正常运行
EQ-0423,1,33.9,33.9,29486.1,0.9988516260162601,沈阳浑南110kV_避雷器_02,避雷器,110kV,沈阳浑南110kV变电站,东北,浙江金利华,2011-05-22,20,15,rated_voltage_kv=80.4,正常运行
EQ-0424,2,70.80000000000001,35.400000000000006,14724.6,0.9976016260162602,沈阳浑南110kV_避雷器_03,避雷器,220kV,沈阳浑南110kV变电站,东北,ABB,2014-02-18,20,12,rated_voltage_kv=214.0,正常运行
EQ-0425,1,36.3,36.3,29483.7,0.998770325203252,沈阳浑南110kV_避雷器_04,避雷器,110kV,沈阳浑南110kV变电站,东北,河南久盛,2010-11-17,20,16,rated_voltage_kv=111.3,正常运行
EQ-0426,1,5.4,5.4,29514.6,0.9998170731707317,沈阳浑南110kV_GIS组合电器_01,GIS组合电器,110kV,沈阳浑南110kV变电站,东北,西电集团,2011-10-01,35,15,rated_current_a=3505.2; sf6_pressure_mpa=0.5,正常运行
EQ-0427,3,19.7,6.566666666666666,9833.433333333332,0.9993326558265583,大连开发区35kV_电力变压器_01,电力变压器,220kV,大连开发区35kV变电站,东北,西电集团,2007-06-10,30,19,rated_capacity_mva=34.8; rated_current_a=376.1,正常运行
EQ-0428,1,6.9,6.9,29513.1,0.9997662601626016,大连开发区35kV_电力变压器_02,电力变压器,35kV,大连开发区35kV变电站,东北,特变电工,2009-04-07,30,17,rated_capacity_mva=237.0; rated_current_a=541.7,备用
EQ-0431,1,49.1,49.1,29470.9,0.9983367208672087,大连开发区35kV_断路器_03,断路器,220kV,大连开发区35kV变电站,东北,河南森源,2006-04-02,25,20,rated_current_a=3201.8; breaking_capacity_ka=45.2,正常运行
