记录年月,设备编号,设备类型,所属变电站,月平均负荷率,月最大负荷率,环境温度（℃）,油温（℃）,绕组温度（℃）,绝缘电阻（MΩ）,介质损耗角tanδ,局部放电量（pC）,SF6气体压力（MPa）,距离故障月份,故障时间,故障类型
2023-09-01,EQ-0437,避雷器,大连开发区35kV变电站,0.5209,0.666,22.2,,,,,,,-3,2023-12-06 16:21:00,瓷套破裂
2023-10-01,EQ-0437,避雷器,大连开发区35kV变电站,0.4896,0.6172,14.0,,,,,,,-2,2023-12-06 16:21:00,瓷套破裂
2023-11-01,EQ-0437,避雷器,大连开发区35kV变电站,0.465,0.535,-0.3,,,,,,,-1,2023-12-06 16:21:00,瓷套破裂
2023-12-01,EQ-0437,避雷器,大连开发区35kV变电站,0.5408,0.7073,-3.4,,,,,,,0,2023-12-06 16:21:00,瓷套破裂
2023-09-01,EQ-0092,断路器,前海110kV变电站,0.5724,0.6926,34.1,,,7931.0,,,0.473,-3,2023-12-10 02:10:00,机械故障
2023-10-01,EQ-0092,断路器,前海110kV变电站,0.4824,0.6119,21.2,,,12996.0,,,0.449,-2,2023-12-10 02:10:00,机械故障
2023-11-01,EQ-0092,断路器,前海110kV变电站,0.4858,0.5795,15.6,,,7352.0,,,0.456,-1,2023-12-10 02:10:00,机械故障
2023-12-01,EQ-0092,断路器,前海110kV变电站,0.5632,0.7264,5.5,,,10037.0,,,0.518,0,2023-12-10 02:10:00,机械故障
2023-09-01,EQ-0421,电容器组,沈阳浑南110kV变电站,0.5475,0.6875,21.4,,,,0.00432,,,-3,2023-12-10 15:19:00,鼓肚渗油
2023-10-01,EQ-0421,电容器组,沈阳浑南110kV变电站,0.4568,0.5364,12.4,,,,0.00352,,,-2,2023-12-10 15:19:00,鼓肚渗油
2023-11-01,EQ-0421,电容器组,沈阳浑南110kV变电站,0.456,0.5519,2.7,,,,0.00567,,,-1,2023-12-10 15:19:00,鼓肚渗油
2023-12-01,EQ-0421,电容器组,沈阳浑南110kV变电站,0.5592,0.738,2.5,,,,0.00601,,,0,2023-12-10 15:19:00,鼓肚渗油
2023-09-01,EQ-0132,断路器,临港110kV变电站,0.7072,0.9422,24.5,,,10410.0,,,0.522,-3,2023-12-12 08:56:00,机械故障
2023-10-01,EQ-0132,断路器,临港110kV变电站,0.5642,0.6811,18.2,,,7200.0,,,0.478,-2,2023-12-12 08:56:00,机械故障
2023-11-01,EQ-0132,断路器,临港110kV变电站,0.6098,0.7082,10.1,,,7656.0,,,0.487,-1,2023-12-12 08:56:00,机械故障
2023-12-01,EQ-0132,断路器,临港110kV变电站,0.6474,0.7744,4.4,,,11117.0,,,0.502,0,2023-12-12 08:56:00,机械故障
2023-09-01,EQ-0397,断路器,成都高新35kV变电站,0.6497,0.7654,27.1,,,7884.0,,,0.473,-3,2023-12-17 22:17:00,拒动/误动
2023-10-01,EQ-0397,断路器,成都高新35kV变电站,0.524,0.6528,20.2,,,7424.0,,,0.451,-2,2023-12-17 22:17:00,拒动/误动
2023-11-01,EQ-0397,断路器,成都高新35kV变电站,0.5803,0.7178,11.7,,,8506.0,,,0.477,-1,2023-12-17 22:17:00,拒动/误动
2023-12-01,EQ-0397,断路器,成都高新35kV变电站,0.5904,0.7011,2.4,,,9227.0,,,0.514,0,2023-12-17 22:17:00,拒动/误动
2023-09-01,EQ-0427,电力变压器,大连开发区35kV变电站,0.5653,0.7568,16.8,53.0,71.2,9139.0,0.00383,4.0,,-3,2023-12-21 23:43:00,油系统故障
2023-10-01,EQ-0427,电力变压器,大连开发区35kV变电站,0.5143,0.6394,9.4,48.0,66.4,10693.0,0.00525,3.8,,-2,2023-12-21 23:43:00,油系统故障
2023-11-01,EQ-0427,电力变压器,大连开发区35kV变电站,0.5132,0.6714,4.0,44.1,61.3,7357.0,0.00425,7.4,,-1,2023-12-21 23:43:00,油系统故障
2023-12-01,EQ-0427,电力变压器,大连开发区35kV变电站,0.6072,0.7515,-4.7,35.1,51.1,10086.0,0.00427,9.7,,0,2023-12-21 23:43:00,油系统故障
2023-09-01,EQ-0295,电力变压器,武昌110kV变电站,0.5966,0.751,23.5,68.5,84.0,6705.0,0.00473,3.7,,-3,2023-12-24 15:28:00,绝缘故障
2023-10-01,EQ-0295,电力变压器,武昌110kV变电站,0.5648,0.7339,18.1,57.3,71.7,8149.0,0.00476,6.7,,-2,2023-12-24 15:28:00,绝缘故障
2023-11-01,EQ-0295,电力变压器,武昌110kV变电站,0.6033,0.7385,9.4,48.3,66.0,7525.0,0.00486,7.8,,-1,2023-12-24 15:28:00,绝缘故障
2023-12-01,EQ-0295,电力变压器,武昌110kV变电站,0.6861,0.859,2.3,45.7,65.0,7222.0,0.00374,13.6,,0,2023-12-24 15:28:00,绝缘故障
2023-09-01,EQ-0006,断路器,龙华220kV变电站,0.5581,0.7515,30.0,,,8875.0,,,0.507,-3,2023-12-25 19:51:00,绝缘故障
2023-10-01,EQ-0006,断路器,龙华220kV变电站,0.4745,0.576,26.9,,,7816.0,,,0.455,-2,2023-12-25 19:51:00,绝缘故障
2023-11-01,EQ-0006,断路器,龙华220kV变电站,0.4528,0.5557,15.2,,,8113.0,,,0.506,-1,2023-12-25 19:51:00,绝缘故障
2023-12-01,EQ-0006,断路器,龙华220kV变电站,0.5157,0.6331,7.8,,,9385.0,,,0.447,0,2023-12-25 19:51:00,绝缘故障
2023-09-01,EQ-0198,避雷器,杭州滨江110kV变电站,0.6579,0.7982,22.3,,,,,,,-3,2023-12-28 01:31:00,接地故障
2023-10-01,EQ-0198,避雷器,杭州滨江110kV变电站,0.5537,0.6462,18.8,,,,,,,-2,2023-12-28 01:31:00,接地故障
2023-11-01,EQ-0198,避雷器,杭州滨江110kV变电站,0.5833,0.6737,11.8,,,,,,,-1,2023-12-28 01:31:00,接地故障
2023-12-01,EQ-0198,避雷器,杭州滨江110kV变电站,0.681,0.7888,3.7,,,,,,,0,2023-12-28 01:31:00,接地故障
2023-10-01,EQ-0439,避雷器,大连开发区35kV变电站,0.4992,0.636,13.4,,,,,,,-3,2024-01-01 07:12:00,阀片劣化
2023-11-01,EQ-0439,避雷器,大连开发区35kV变电站,0.5301,0.6323,0.4,,,,,,,-2,2024-01-01 07:12:00,阀片劣化
2023-12-01,EQ-0439,避雷器,大连开发区35kV变电站,0.5917,0.7402,-7.1,,,,,,,-1,2024-01-01 07:12:00,阀片劣化
2024-01-01,EQ-0439,避雷器,大连开发区35kV变电站,0.5691,0.6853,-3.6,,,,,,,0,2024-01-01 07:12:00,阀片劣化
2023-10-01,EQ-0371,断路器,重庆两江220kV变电站,0.5012,0.6614,17.8,,,8739.0,,,0.516,-3,2024-01-08 09:30:00,过热故障
2023-11-01,EQ-0371,断路器,重庆两江220kV变电站,0.4713,0.5553,8.6,,,7634.0,,,0.529,-2,2024-01-08 09:30:00,过热故障
2023-12-01,EQ-0371,断路器,重庆两江220kV变电站,0.5309,0.6211,2.8,,,10255.0,,,0.477,-1,2024-01-08 09:30:00,过热故障
2024-01-01,EQ-0371,断路器,重庆两江220kV变电站,0.5788,0.702,4.5,,,8707.0,,,0.502,0,2024-01-08 09:30:00,过热故障
2023-10-01,EQ-0318,断路器,江夏35kV变电站,0.4581,0.5953,17.5,,,8079.0,,,0.494,-3,2024-01-12 16:22:00,机械故障
2023-11-01,EQ-0318,断路器,江夏35kV变电站,0.4638,0.6078,14.1,,,6614.0,,,0.45,-2,2024-01-12 16:22:00,机械故障
2023-12-01,EQ-0318,断路器,江夏35kV变电站,0.5225,0.6364,3.4,,,5869.0,,,0.491,-1,2024-01-12 16:22:00,机械故障
2024-01-01,EQ-0318,断路器,江夏35kV变电站,0.5411,0.7168,0.4,,,10601.0,,,0.479,0,2024-01-12 16:22:00,机械故障
2023-10-01,EQ-0367,电力变压器,重庆两江220kV变电站,0.502,0.595,19.5,56.8,72.1,7269.0,0.00241,13.1,,-3,2024-01-15 21:03:00,油系统故障
2023-11-01,EQ-0367,电力变压器,重庆两江220kV变电站,0.5188,0.6156,11.8,50.6,66.1,8824.0,0.00408,8.7,,-2,2024-01-15 21:03:00,油系统故障
2023-12-01,EQ-0367,电力变压器,重庆两江220kV变电站,0.585,0.7401,5.6,51.6,67.1,10880.0,0.00303,6.8,,-1,2024-01-15 21:03:00,油系统故障
2024-01-01,EQ-0367,电力变压器,重庆两江220kV变电站,0.5988,0.7565,4.2,44.6,63.5,10197.0,0.00294,9.5,,0,2024-01-15 21:03:00,油系统故障
2023-10-01,EQ-0393,GIS组合电器,重庆两江220kV变电站,0.5138,0.6417,20.4,60.7,81.0,8588.0,,9.3,0.478,-3,2024-01-16 13:24:00,SF6泄漏
2023-11-01,EQ-0393,GIS组合电器,重庆两江220kV变电站,0.5885,0.7461,10.5,49.3,65.8,9210.0,,11.4,0.458,-2,2024-01-16 13:24:00,SF6泄漏
2023-12-01,EQ-0393,GIS组合电器,重庆两江220kV变电站,0.6453,0.7898,5.7,47.0,66.0,7463.0,,14.9,0.518,-1,2024-01-16 13:24:00,SF6泄漏
2024-01-01,EQ-0393,GIS组合电器,重庆两江220kV变电站,0.6644,0.8433,2.9,46.4,63.9,9511.0,,13.6,0.46,0,2024-01-16 13:24:00,SF6泄漏
2023-10-01,EQ-0188,断路器,杭州滨江110kV变电站,0.626,0.7362,20.7,,,10493.0,,,0.461,-3,2024-01-17 09:25:00,拒动/误动
2023-11-01,EQ-0188,断路器,杭州滨江110kV变电站,0.6087,0.7584,12.4,,,6936.0,,,0.532,-2,2024-01-17 09:25:00,拒动/误动
2023-12-01,EQ-0188,断路器,杭州滨江110kV变电站,0.6947,0.8715,3.9,,,11441.0,,,0.473,-1,2024-01-17 09:25:00,拒动/误动
2024-01-01,EQ-0188,断路器,杭州滨江110kV变电站,0.732,0.8573,3.9,,,10023.0,,,0.503,0,2024-01-17 09:25:00,拒动/误动
2023-10-01,EQ-0301,断路器,武昌110kV变电站,0.4135,0.4863,18.7,,,9165.0,,,0.533,-3,2024-01-17 11:56:00,绝缘故障
2023-11-01,EQ-0301,断路器,武昌110kV变电站,0.4835,0.6009,11.0,,,6412.0,,,0.479,-2,2024-01-17 11:56:00,绝缘故障
2023-12-01,EQ-0301,断路器,武昌110kV变电站,0.5155,0.65,5.3,,,9695.0,,,0.468,-1,2024-01-17 11:56:00,绝缘故障
2024-01-01,EQ-0301,断路器,武昌110kV变电站,0.5402,0.722,4.3,,,10732.0,,,0.472,0,2024-01-17 11:56:00,绝缘故障
2023-10-01,EQ-0232,避雷器,亦庄110kV变电站,0.5194,0.6496,19.1,,,,,,,-3,2024-01-21 07:49:00,密封失效
2023-11-01,EQ-0232,避雷器,亦庄110kV变电站,0.4877,0.5713,5.7,,,,,,,-2,2024-01-21 07:49:00,密封失效
2023-12-01,EQ-0232,避雷器,亦庄110kV变电站,0.5935,0.7062,-0.2,,,,,,,-1,2024-01-21 07:49:00,密封失效
2024-01-01,EQ-0232,避雷器,亦庄110kV变电站,0.6026,0.8041,-0.3,,,,,,,0,2024-01-21 07:49:00,密封失效
2023-10-01,EQ-0393,GIS组合电器,重庆两江220kV变电站,0.5138,0.6417,20.4,60.7,81.0,8588.0,,9.3,0.478,-3,2024-01-25 13:24:00,机械故障
2023-11-01,EQ-0393,GIS组合电器,重庆两江220kV变电站,0.5885,0.7461,10.5,49.3,65.8,9210.0,,11.4,0.458,-2,2024-01-25 13:24:00,机械故障
2023-12-01,EQ-0393,GIS组合电器,重庆两江220kV变电站,0.6453,0.7898,5.7,47.0,66.0,7463.0,,14.9,0.518,-1,2024-01-25 13:24:00,机械故障
2024-01-01,EQ-0393,GIS组合电器,重庆两江220kV变电站,0.6644,0.8433,2.9,46.4,63.9,9511.0,,13.6,0.46,0,2024-01-25 13:24:00,机械故障
2023-10-01,EQ-0316,断路器,江夏35kV变电站,0.6177,0.8279,19.2,,,7784.0,,,0.527,-3,2024-01-27 01:38:00,绝缘故障
2023-11-01,EQ-0316,断路器,江夏35kV变电站,0.6346,0.8098,9.5,,,7259.0,,,0.464,-2,2024-01-27 01:38:00,绝缘故障
2023-12-01,EQ-0316,断路器,江夏35kV变电站,0.6331,0.8277,4.4,,,6561.0,,,0.483,-1,2024-01-27 01:38:00,绝缘故障
2024-01-01,EQ-0316,断路器,江夏35kV变电站,0.6717,0.8737,3.2,,,8075.0,,,0.476,0,2024-01-27 01:38:00,绝缘故障
2023-10-01,EQ-0121,电容器组,张江110kV变电站,0.6118,0.7971,18.2,,,,0.00527,,,-3,2024-01-29 10:34:00,接线故障
2023-11-01,EQ-0121,电容器组,张江110kV变电站,0.5702,0.7551,11.9,,,,0.00577,,,-2,2024-01-29 10:34:00,接线故障
2023-12-01,EQ-0121,电容器组,张江110kV变电站,0.6792,0.8942,3.0,,,,0.0037,,,-1,2024-01-29 10:34:00,接线故障
2024-01-01,EQ-0121,电容器组,张江110kV变电站,0.6354,0.7386,5.5,,,,0.00327,,,0,2024-01-29 10:34:00,接线故障
2023-11-01,EQ-0351,断路器,武侯110kV变电站,0.4989,0.6639,10.6,,,11788.0,,,0.483,-3,2024-02-03 19:06:00,绝缘故障
2023-12-01,EQ-0351,断路器,武侯110kV变电站,0.5427,0.6301,7.2,,,11939.0,,,0.499,-2,2024-02-03 19:06:00,绝缘故障
2024-01-01,EQ-0351,断路器,武侯110kV变电站,0.5752,0.7066,5.8,,,7615.0,,,0.446,-1,2024-02-03 19:06:00,绝缘故障
2024-02-01,EQ-0351,断路器,武侯110kV变电站,0.4516,0.5294,3.9,,,13305.0,,,0.514,0,2024-02-03 19:06:00,绝缘故障
2023-11-01,EQ-0374,断路器,重庆两江220kV变电站,0.5919,0.7411,11.4,,,8933.0,,,0.469,-3,2024-02-03 23:51:00,外力因素
2023-12-01,EQ-0374,断路器,重庆两江220kV变电站,0.6356,0.7605,5.9,,,12158.0,,,0.498,-2,2024-02-03 23:51:00,外力因素
2024-01-01,EQ-0374,断路器,重庆两江220kV变电站,0.6029,0.7294,5.3,,,8882.0,,,0.456,-1,2024-02-03 23:51:00,外力因素
2024-02-01,EQ-0374,断路器,重庆两江220kV变电站,0.5184,0.6322,5.9,,,12140.0,,,0.491,0,2024-02-03 23:51:00,外力因素
2023-11-01,EQ-0301,断路器,武昌110kV变电站,0.4835,0.6009,11.0,,,6412.0,,,0.479,-3,2024-02-05 11:56:00,拒动/误动
2023-12-01,EQ-0301,断路器,武昌110kV变电站,0.5155,0.65,5.3,,,9695.0,,,0.468,-2,2024-02-05 11:56:00,拒动/误动
2024-01-01,EQ-0301,断路器,武昌110kV变电站,0.5402,0.722,4.3,,,10732.0,,,0.472,-1,2024-02-05 11:56:00,拒动/误动
2024-02-01,EQ-0301,断路器,武昌110kV变电站,0.4371,0.5659,3.4,,,8728.0,,,0.493,0,2024-02-05 11:56:00,拒动/误动
2023-11-01,EQ-0021,隔离开关,龙华220kV变电站,0.6877,0.8659,17.8,,,,,,,-3,2024-02-06 08:02:00,机械故障
2023-12-01,EQ-0021,隔离开关,龙华220kV变电站,0.6857,0.8462,12.2,,,,,,,-2,2024-02-06 08:02:00,机械故障
2024-01-01,EQ-0021,隔离开关,龙华220kV变电站,0.6656,0.8275,12.5,,,,,,,-1,2024-02-06 08:02:00,机械故障
2024-02-01,EQ-0021,隔离开关,龙华220kV变电站,0.6134,0.74,13.8,,,,,,,0,2024-02-06 08:02:00,机械故障
2023-11-01,EQ-0294,避雷器,石家庄高新35kV变电站,0.5958,0.7411,7.6,,,,,,,-3,2024-02-10 16:44:00,接地故障
2023-12-01,EQ-0294,避雷器,石家庄高新35kV变电站,0.6567,0.8627,3.6,,,,,,,-2,2024-02-10 16:44:00,接地故障
2024-01-01,EQ-0294,避雷器,石家庄高新35kV变电站,0.6696,0.814,2.3,,,,,,,-1,2024-02-10 16:44:00,接地故障
2024-02-01,EQ-0294,避雷器,石家庄高新35kV变电站,0.5995,0.7302,2.3,,,,,,,0,2024-02-10 16:44:00,接地故障
2023-11-01,EQ-0211,电容器组,昆山35kV变电站,0.4835,0.5607,9.5,,,,0.00287,,,-3,2024-02-10 22:44:00,保护动作
2023-12-01,EQ-0211,电容器组,昆山35kV变电站,0.5595,0.669,8.1,,,,0.00369,,,-2,2024-02-10 22:44:00,保护动作
2024-01-01,EQ-0211,电容器组,昆山35kV变电站,0.4858,0.5947,6.0,,,,0.00403,,,-1,2024-02-10 22:44:00,保护动作
2024-02-01,EQ-0211,电容器组,昆山35kV变电站,0.4726,0.6086,6.3,,,,0.00565,,,0,2024-02-10 22:44:00,保护动作
2023-11-01,EQ-0254,电力变压器,天津滨海220kV变电站,0.6135,0.7648,4.3,42.4,60.2,10821.0,0.00411,4.5,,-3,2024-02-12 17:10:00,过热故障
2023-12-01,EQ-0254,电力变压器,天津滨海220kV变电站,0.6468,0.7557,4.1,48.3,66.6,8882.0,0.00262,13.5,,-2,2024-02-12 17:10:00,过热故障
2024-01-01,EQ-0254,电力变压器,天津滨海220kV变电站,0.6271,0.7856,0.7,43.0,62.4,8446.0,0.0064,5.9,,-1,2024-02-12 17:10:00,过热故障
2024-02-01,EQ-0254,电力变压器,天津滨海220kV变电站,0.5634,0.7559,2.6,37.8,55.1,11395.0,0.00277,10.4,,0,2024-02-12 17:10:00,过热故障
2023-11-01,EQ-0189,断路器,杭州滨江110kV变电站,0.5161,0.6328,11.3,,,8258.0,,,0.472,-3,2024-02-19 04:32:00,过热故障
2023-12-01,EQ-0189,断路器,杭州滨江110kV变电站,0.5741,0.6823,3.6,,,11441.0,,,0.529,-2,2024-02-19 04:32:00,过热故障
2024-01-01,EQ-0189,断路器,杭州滨江110kV变电站,0.5999,0.7055,2.7,,,10167.0,,,0.471,-1,2024-02-19 04:32:00,过热故障
2024-02-01,EQ-0189,断路器,杭州滨江110kV变电站,0.5622,0.6999,8.6,,,6182.0,,,0.496,0,2024-02-19 04:32:00,过热故障
2023-11-01,EQ-0281,GIS组合电器,天津滨海220kV变电站,0.6374,0.7965,7.2,49.0,64.5,11195.0,,8.3,0.445,-3,2024-02-19 17:52:00,绝缘故障
2023-12-01,EQ-0281,GIS组合电器,天津滨海220kV变电站,0.7171,0.8256,3.1,46.8,66.8,7351.0,,10.0,0.498,-2,2024-02-19 17:52:00,绝缘故障
2024-01-01,EQ-0281,GIS组合电器,天津滨海220kV变电站,0.6488,0.7907,-1.4,39.6,56.0,11209.0,,3.0,0.503,-1,2024-02-19 17:52:00,绝缘故障
2024-02-01,EQ-0281,GIS组合电器,天津滨海220kV变电站,0.5881,0.758,2.8,46.2,61.3,10745.0,,12.6,0.493,0,2024-02-19 17:52:00,绝缘故障
2023-11-01,EQ-0082,避雷器,南沙110kV变电站,0.5759,0.6726,12.6,,,,,,,-3,2024-02-23 10:01:00,接地故障
2023-12-01,EQ-0082,避雷器,南沙110kV变电站,0.6736,0.874,10.0,,,,,,,-2,2024-02-23 10:01:00,接地故障
2024-01-01,EQ-0082,避雷器,南沙110kV变电站,0.7436,0.8969,8.5,,,,,,,-1,2024-02-23 10:01:00,接地故障
2024-02-01,EQ-0082,避雷器,南沙110kV变电站,0.6508,0.8365,12.9,,,,,,,0,2024-02-23 10:01:00,接地故障
2023-11-01,EQ-0217,电力变压器,亦庄110kV变电站,0.5988,0.7508,6.5,45.7,60.8,10488.0,0.00517,9.9,,-3,2024-02-24 04:38:00,外力因素
2023-12-01,EQ-0217,电力变压器,亦庄110kV变电站,0.6931,0.8604,3.7,48.9,67.1,7625.0,0.00391,4.9,,-2,2024-02-24 04:38:00,外力因素
2024-01-01,EQ-0217,电力变压器,亦庄110kV变电站,0.6577,0.8682,2.0,47.4,62.0,7081.0,0.00526,8.7,,-1,2024-02-24 04:38:00,外力因素
2024-02-01,EQ-0217,电力变压器,亦庄110kV变电站,0.6052,0.7258,0.3,39.5,60.6,6389.0,0.00396,6.0,,0,2024-02-24 04:38:00,外力因素
2023-11-01,EQ-0372,断路器,重庆两江220kV变电站,0.5103,0.6621,8.7,,,9273.0,,,0.495,-3,2024-02-27 18:37:00,拒动/误动
2023-12-01,EQ-0372,断路器,重庆两江220kV变电站,0.5692,0.71,4.7,,,6467.0,,,0.454,-2,2024-02-27 18:37:00,拒动/误动
2024-01-01,EQ-0372,断路器,重庆两江220kV变电站,0.5568,0.686,6.0,,,10588.0,,,0.455,-1,2024-02-27 18:37:00,拒动/误动
2024-02-01,EQ-0372,断路器,重庆两江220kV变电站,0.52,0.6407,5.2,,,6698.0,,,0.519,0,2024-02-27 18:37:00,拒动/误动
2023-12-01,EQ-0351,断路器,武侯110kV变电站,0.5427,0.6301,7.2,,,11939.0,,,0.499,-3,2024-03-04 16:55:00,拒动/误动
2024-01-01,EQ-0351,断路器,武侯110kV变电站,0.5752,0.7066,5.8,,,7615.0,,,0.446,-2,2024-03-04 16:55:00,拒动/误动
2024-02-01,EQ-0351,断路器,武侯110kV变电站,0.4516,0.5294,3.9,,,13305.0,,,0.514,-1,2024-03-04 16:55:00,拒动/误动
2024-03-01,EQ-0351,断路器,武侯110kV变电站,0.4438,0.5184,12.9,,,9460.0,,,0.462,0,2024-03-04 16:55:00,拒动/误动
2023-12-01,EQ-0358,电容器组,武侯110kV变电站,0.5628,0.6563,7.7,,,,0.0065,,,-3,2024-03-06 01:36:00,保护动作
2024-01-01,EQ-0358,电容器组,武侯110kV变电站,0.6394,0.7894,2.1,,,,0.00539,,,-2,2024-03-06 01:36:00,保护动作
2024-02-01,EQ-0358,电容器组,武侯110kV变电站,0.5699,0.7597,5.5,,,,0.00554,,,-1,2024-03-06 01:36:00,保护动作
2024-03-01,EQ-0358,电容器组,武侯110kV变电站,0.5163,0.6527,7.9,,,,0.00554,,,0,2024-03-06 01:36:00,保护动作
2023-12-01,EQ-0117,隔离开关,张江110kV变电站,0.6106,0.7299,4.3,,,,,,,-3,2024-03-06 04:23:00,外力因素
2024-01-01,EQ-0117,隔离开关,张江110kV变电站,0.6349,0.8137,7.6,,,,,,,-2,2024-03-06 04:23:00,外力因素
2024-02-01,EQ-0117,隔离开关,张江110kV变电站,0.5671,0.7146,3.6,,,,,,,-1,2024-03-06 04:23:00,外力因素
2024-03-01,EQ-0117,隔离开关,张江110kV变电站,0.542,0.7155,16.7,,,,,,,0,2024-03-06 04:23:00,外力因素
2023-12-01,EQ-0153,断路器,苏州工业园220kV变电站,0.5279,0.6748,7.2,,,6650.0,,,0.478,-3,2024-03-15 11:03:00,外力因素
2024-01-01,EQ-0153,断路器,苏州工业园220kV变电站,0.5079,0.6125,5.9,,,10299.0,,,0.512,-2,2024-03-15 11:03:00,外力因素
2024-02-01,EQ-0153,断路器,苏州工业园220kV变电站,0.4331,0.5174,4.9,,,10737.0,,,0.436,-1,2024-03-15 11:03:00,外力因素
2024-03-01,EQ-0153,断路器,苏州工业园220kV变电站,0.3476,0.4567,11.3,,,10671.0,,,0.498,0,2024-03-15 11:03:00,外力因素
2023-12-01,EQ-0373,断路器,重庆两江220kV变电站,0.6835,0.797,6.0,,,11227.0,,,0.46,-3,2024-03-16 09:18:00,外力因素
2024-01-01,EQ-0373,断路器,重庆两江220kV变电站,0.6535,0.7916,0.2,,,10208.0,,,0.535,-2,2024-03-16 09:18:00,外力因素
2024-02-01,EQ-0373,断路器,重庆两江220kV变电站,0.5839,0.772,6.3,,,8787.0,,,0.474,-1,2024-03-16 09:18:00,外力因素
2024-03-01,EQ-0373,断路器,重庆两江220kV变电站,0.5196,0.6614,12.3,,,8032.0,,,0.53,0,2024-03-16 09:18:00,外力因素
2023-12-01,EQ-0392,GIS组合电器,重庆两江220kV变电站,0.513,0.6369,4.1,48.9,65.7,8027.0,,9.6,0.455,-3,2024-03-25 19:18:00,机械故障
2024-01-01,EQ-0392,GIS组合电器,重庆两江220kV变电站,0.5217,0.6716,6.1,46.1,65.2,7755.0,,7.8,0.469,-2,2024-03-25 19:18:00,机械故障
2024-02-01,EQ-0392,GIS组合电器,重庆两江220kV变电站,0.4071,0.4879,5.3,41.4,53.3,7131.0,,3.5,0.455,-1,2024-03-25 19:18:00,机械故障
2024-03-01,EQ-0392,GIS组合电器,重庆两江220kV变电站,0.4296,0.577,13.1,50.5,67.2,9607.0,,2.3,0.455,0,2024-03-25 19:18:00,机械故障
2024-01-01,EQ-0220,断路器,亦庄110kV变电站,0.6156,0.7258,4.7,,,12215.0,,,0.503,-3,2024-04-01 19:53:00,机械故障
2024-02-01,EQ-0220,断路器,亦庄110kV变电站,0.571,0.7302,6.2,,,8523.0,,,0.519,-2,2024-04-01 19:53:00,机械故障
2024-03-01,EQ-0220,断路器,亦庄110kV变电站,0.565,0.722,12.3,,,9120.0,,,0.499,-1,2024-04-01 19:53:00,机械故障
2024-04-01,EQ-0220,断路器,亦庄110kV变电站,0.5963,0.7187,17.7,,,7688.0,,,0.462,0,2024-04-01 19:53:00,机械故障
2024-01-01,EQ-0196,避雷器,杭州滨江110kV变电站,0.5771,0.7547,8.3,,,,,,,-3,2024-04-10 11:10:00,接地故障
2024-02-01,EQ-0196,避雷器,杭州滨江110kV变电站,0.4882,0.6138,5.4,,,,,,,-2,2024-04-10 11:10:00,接地故障
2024-03-01,EQ-0196,避雷器,杭州滨江110kV变电站,0.4529,0.5722,13.8,,,,,,,-1,2024-04-10 11:10:00,接地故障
2024-04-01,EQ-0196,避雷器,杭州滨江110kV变电站,0.4431,0.5359,18.7,,,,,,,0,2024-04-10 11:10:00,接地故障
2024-01-01,EQ-0028,避雷器,龙华220kV变电站,0.6782,0.8077,8.7,,,,,,,-3,2024-04-13 22:38:00,密封失效
2024-02-01,EQ-0028,避雷器,龙华220kV变电站,0.5769,0.6911,12.9,,,,,,,-2,2024-04-13 22:38:00,密封失效
2024-03-01,EQ-0028,避雷器,龙华220kV变电站,0.5992,0.7436,14.7,,,,,,,-1,2024-04-13 22:38:00,密封失效
2024-04-01,EQ-0028,避雷器,龙华220kV变电站,0.5427,0.6526,19.3,,,,,,,0,2024-04-13 22:38:00,密封失效
2024-01-01,EQ-0330,断路器,长沙星沙110kV变电站,0.68,0.8683,1.8,,,10112.0,,,0.53,-3,2024-04-18 19:08:00,拒动/误动
2024-02-01,EQ-0330,断路器,长沙星沙110kV变电站,0.5768,0.6666,3.4,,,7862.0,,,0.461,-2,2024-04-18 19:08:00,拒动/误动
2024-03-01,EQ-0330,断路器,长沙星沙110kV变电站,0.524,0.6477,10.3,,,8775.0,,,0.444,-1,2024-04-18 19:08:00,拒动/误动
2024-04-01,EQ-0330,断路器,长沙星沙110kV变电站,0.5227,0.669,17.9,,,11448.0,,,0.5,0,2024-04-18 19:08:00,拒动/误动
2024-01-01,EQ-0024,电容器组,龙华220kV变电站,0.5455,0.6609,6.5,,,,0.00358,,,-3,2024-04-22 06:57:00,绝缘击穿
2024-02-01,EQ-0024,电容器组,龙华220kV变电站,0.4756,0.618,12.5,,,,0.00283,,,-2,2024-04-22 06:57:00,绝缘击穿
2024-03-01,EQ-0024,电容器组,龙华220kV变电站,0.4046,0.5392,17.2,,,,0.00378,,,-1,2024-04-22 06:57:00,绝缘击穿
2024-04-01,EQ-0024,电容器组,龙华220kV变电站,0.4559,0.5373,25.6,,,,0.00414,,,0,2024-04-22 06:57:00,绝缘击穿
2024-01-01,EQ-0078,隔离开关,南沙110kV变电站,0.721,0.858,6.5,,,,,,,-3,2024-04-28 13:12:00,接触不良
2024-02-01,EQ-0078,隔离开关,南沙110kV变电站,0.5829,0.6831,10.9,,,,,,,-2,2024-04-28 13:12:00,接触不良
2024-03-01,EQ-0078,隔离开关,南沙110kV变电站,0.5296,0.6943,15.3,,,,,,,-1,2024-04-28 13:12:00,接触不良
2024-04-01,EQ-0078,隔离开关,南沙110kV变电站,0.5488,0.718,25.5,,,,,,,0,2024-04-28 13:12:00,接触不良
