设备编号,设备名称,设备类型,电压等级,所属变电站,所属区域,制造商,投运日期,设计寿命（年）,已运行年限,额定参数,运行状态,年龄风险原始,故障次数,累计修复时间,严重故障次数,严重故障占比,故障风险原始,MTTR(h),MTBF(h),设备可用率,平均巡检评分,巡检次数,缺陷次数,缺陷率,检修次数,平均延期天数,延期次数,延期率,平均负荷率,最大负荷率,平均油温,绝缘电阻,故障风险得分,可靠性得分,运行状态得分,巡检状态得分,检修状态得分,基础风险得分,健康评分,健康等级
EQ-0154,苏州工业园220kV_断路器_02,断路器,220kV,苏州工业园220kV变电站,华东,西门子,2014-09-24,25,12,rated_current_a=2203.6; breaking_capacity_ka=48.5,正常运行,0.48,1.0,37.9,0.0,0.0,1.0,37.9,29482.1,0.9987161246612466,87.58987341772152,79,7,0.08860759493670886,11,0.8181818181818182,1,0.09090909090909091,0.5948512195121951,0.7324341463414634,58.81707317073171,9165.756097560976,100.0,84.51632185925394,46.21241142327594,80.50379746835443,83.63636363636364,62.83464566929135,77.86841720732464,良
EQ-0133,临港110kV_断路器_02,断路器,110kV,临港110kV变电站,华东,沈阳高开,2016-04-17,25,10,rated_current_a=2480.1; breaking_capacity_ka=60.4,正常运行,0.4,1.0,43.4,1.0,1.0,3.0,43.4,29476.6,0.998529810298103,87.15405405405404,37,3,0.08108108108108109,11,2.272727272727273,1,0.09090909090909091,0.5078853658536585,0.6389414634146342,58.81707317073171,9454.19512195122,81.81818181818181,82.20237081992093,65.75874406899278,81.41486486486485,83.63636363636364,71.65354330708661,77.78798885640296,良
EQ-0208,昆山35kV_隔离开关_02,隔离开关,110kV,昆山35kV变电站,华东,新东北电气,2006-06-10,30,20,rated_current_a=1008.3,正常运行,0.6666666666666666,1.0,2.6,0.0,0.0,1.0,2.6,29517.4,0.9999119241192412,84.61025641025641,39,1,0.02564102564102564,11,3.090909090909091,3,0.2727272727272727,0.5641926829268293,0.6981219512195123,58.81707317073171,9012.036585365855,100.0,99.36768034806398,51.445354720310185,88.45897435897436,50.909090909090914,42.25721784776905,77.74808404320699,良
EQ-0369,重庆两江220kV_断路器_01,断路器,220kV,重庆两江220kV变电站,西南,ABB,2012-06-07,25,14,rated_current_a=1388.9; breaking_capacity_ka=47.8,检修停运,0.56,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,86.1425,80,11,0.1375,11,1.6363636363636365,1,0.09090909090909091,0.613080487804878,0.7583634146341464,58.81707317073171,9344.707317073171,100.0,96.78870235099855,43.22385622170713,72.44624999999999,83.63636363636364,54.01574803149607,77.63466038132711,良
EQ-0125,张江110kV_避雷器_03,避雷器,110kV,张江110kV变电站,华东,ABB,2010-03-05,20,16,rated_voltage_kv=213.9,正常运行,0.8,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,86.07000000000001,40,2,0.05,10,4.7,2,0.2,0.540090243902439,0.6727634146341464,58.81707317073171,9012.036585365855,100.0,96.78870235099855,56.2578335312838,85.535,64.0,27.559055118110237,77.5954626882675,良
EQ-0371,重庆两江220kV_断路器_03,断路器,220kV,重庆两江220kV变电站,西南,平高电气,2011-05-23,25,15,rated_current_a=1476.7; breaking_capacity_ka=55.3,正常运行,0.6,1.0,15.3,0.0,0.0,1.0,15.3,29504.7,0.9994817073170732,86.55696202531645,79,11,0.13924050632911392,10,1.2,1,0.1,0.5569951219512195,0.7028219512195122,58.81707317073171,8579.0,100.0,94.02455703905866,48.79046810970797,72.39240506329114,82.0,49.60629921259844,77.58249571050683,良
EQ-0070,南沙110kV_电力变压器_03,电力变压器,110kV,南沙110kV变电站,华南,ABB,2012-11-08,30,14,rated_capacity_mva=155.4; rated_current_a=445.5,正常运行,0.4666666666666667,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,85.72749999999999,40,3,0.075,9,6.444444444444445,2,0.2222222222222222,0.5733341463414634,0.7200048780487804,62.197560975609754,8891.853658536585,100.0,96.78870235099855,42.742473025922386,81.61375,60.0,64.30446194225722,77.57874376960991,良
EQ-0376,重庆两江220kV_断路器_08,断路器,110kV,重庆两江220kV变电站,西南,平高电气,2010-09-18,25,16,rated_current_a=3059.4; breaking_capacity_ka=56.7,正常运行,0.64,1.0,4.5,0.0,0.0,1.0,4.5,29515.5,0.9998475609756098,87.82368421052632,38,5,0.13157894736842105,9,4.777777777777778,3,0.3333333333333333,0.5053292682926829,0.6225731707317074,58.81707317073171,9232.609756097561,100.0,98.56831544356713,65.93071384880258,74.17500000000001,40.0,45.19685039370079,77.54574089784403,良
EQ-0113,张江110kV_断路器_04,断路器,110kV,张江110kV变电站,华东,河南森源,2013-10-22,25,13,rated_current_a=3465.3; breaking_capacity_ka=59.8,正常运行,0.52,1.0,4.4,0.0,0.0,1.0,4.4,29515.6,0.9998509485094851,87.9325,40,0,0.0,10,2.2,2,0.2,0.6690390243902439,0.8285658536585366,58.81707317073171,9525.048780487805,100.0,98.61038728064591,32.30902996809239,93.96625,64.0,58.425196850393704,77.52134063478704,良
EQ-0110,张江110kV_断路器_01,断路器,220kV,张江110kV变电站,华东,西门子,2012-12-26,25,14,rated_current_a=3137.1; breaking_capacity_ka=50.2,备用,0.56,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,86.12025316455696,79,8,0.10126582278481013,11,4.909090909090909,3,0.2727272727272727,0.542490243902439,0.6817512195121951,58.81707317073171,8961.170731707318,100.0,96.78870235099855,54.85633672762481,77.87025316455696,50.909090909090914,54.01574803149607,77.50202968446692,良
EQ-0077,南沙110kV_隔离开关_02,隔离开关,110kV,南沙110kV变电站,华南,西门子,2013-10-01,30,13,rated_current_a=2249.0,正常运行,0.43333333333333335,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,86.26,40,4,0.1,10,2.6,2,0.2,0.6103804878048781,0.7605292682926829,58.81707317073171,9012.036585365855,100.0,96.78870235099855,41.0082700077916,78.13,64.0,67.97900262467192,77.47679473422524,良
EQ-0253,天津滨海220kV_电力变压器_02,电力变压器,110kV,天津滨海220kV变电站,华北,特变电工,2011-11-06,30,15,rated_capacity_mva=62.3; rated_current_a=624.8,正常运行,0.5,3.0,38.6,0.0,0.0,3.0,12.866666666666667,9827.133333333333,0.9986924119241193,87.91499999999999,40,2,0.05,11,0.0,0,0.0,0.5217975609756097,0.6553317073170732,52.019512195121955,9275.024390243903,81.81818181818181,68.36967922933206,71.55951175830842,86.4575,100.0,60.629921259842526,77.4720007780578,良
EQ-0063,松山湖220kV_避雷器_05,避雷器,220kV,松山湖220kV变电站,华南,河南久盛,2011-06-14,20,15,rated_voltage_kv=164.3,正常运行,0.75,1.0,18.6,0.0,0.0,1.0,18.6,29501.4,0.999369918699187,88.16296296296296,81,8,0.09876543209876543,11,1.5454545454545454,1,0.09090909090909091,0.5587560975609756,0.7017829268292682,58.81707317073171,9012.036585365855,100.0,92.63618641545885,51.7057701865299,79.26666666666668,83.63636363636364,33.07086614173228,77.42911429820734,良
EQ-0024,龙华220kV_电容器组_01,电容器组,35kV,龙华220kV变电站,华南,思源电气,2010-11-22,20,16,rated_capacity_mvar=34.3,正常运行,0.8,1.0,10.2,0.0,0.0,1.0,10.2,29509.8,0.9996544715447154,86.34324324324324,37,3,0.08108108108108109,11,2.4545454545454546,2,0.18181818181818182,0.5322292682926829,0.6656731707317073,58.81707317073171,9012.036585365855,100.0,96.17022073007655,57.72359403200843,81.00945945945946,67.27272727272728,27.559055118110237,77.41336011041967,良
EQ-0259,天津滨海220kV_断路器_04,断路器,220kV,天津滨海220kV变电站,华北,平高电气,2013-01-04,25,13,rated_current_a=2840.5; breaking_capacity_ka=34.9,正常运行,0.52,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,87.505,80,9,0.1125,10,7.1,4,0.4,0.49918048780487806,0.6375219512195122,58.81707317073171,9094.317073170732,100.0,96.78870235099855,64.31252823812548,76.8775,28.0,58.425196850393704,77.3943908028642,良
EQ-0236,亦庄110kV_GIS组合电器_01,GIS组合电器,220kV,亦庄110kV变电站,华北,西电集团,2010-09-22,35,16,rated_current_a=3958.4; sf6_pressure_mpa=0.6,正常运行,0.45714285714285713,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,85.86951219512196,82,11,0.13414634146341464,11,0.8181818181818182,1,0.09090909090909091,0.6401658536585366,0.7958926829268292,56.517073170731706,8670.853658536585,100.0,96.78870235099855,35.7099911243518,72.81280487804878,83.63636363636364,65.35433070866142,77.3207288612799,良
EQ-0190,杭州滨江110kV_隔离开关_01,隔离开关,110kV,杭州滨江110kV变电站,华东,西电集团,2013-12-07,30,13,rated_current_a=2181.8,正常运行,0.43333333333333335,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,88.31,40,7,0.175,11,3.5454545454545454,2,0.18181818181818182,0.5831463414634146,0.7347926829268293,58.81707317073171,9012.036585365855,100.0,96.78870235099855,46.189496878343455,67.905,67.27272727272728,67.97900262467192,77.30656283560833,良
EQ-0103,前海110kV_避雷器_03,避雷器,110kV,前海110kV变电站,华南,浙江金利华,2021-03-15,20,5,rated_voltage_kv=177.8,备用,0.25,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,86.295,40,4,0.1,9,3.2222222222222223,2,0.2222222222222222,0.6535268292682926,0.8101682926829269,58.81707317073171,9012.036585365855,100.0,96.78870235099855,32.02004825580709,78.14750000000001,60.0,88.18897637795276,77.30277275915641,良
EQ-0204,昆山35kV_断路器_02,断路器,35kV,昆山35kV变电站,华东,沈阳高开,2011-12-21,25,15,rated_current_a=3363.2; breaking_capacity_ka=48.3,正常运行,0.6,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,85.22162162162162,37,7,0.1891891891891892,9,1.8888888888888888,1,0.1111111111111111,0.5373512195121951,0.6815512195121951,58.81707317073171,8384.560975609756,100.0,96.78870235099855,51.41308441835134,64.23243243243243,80.0,49.60629921259844,77.2358521399947,良
EQ-0342,长沙星沙110kV_避雷器_02,避雷器,110kV,长沙星沙110kV变电站,华中,浙江金利华,2016-01-12,20,10,rated_voltage_kv=187.9,正常运行,0.5,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,87.60263157894737,38,9,0.23684210526315788,9,4.111111111111111,2,0.2222222222222222,0.520829268292683,0.6495829268292683,58.81707317073171,9012.036585365855,100.0,96.78870235099855,60.36008092571631,58.275,60.0,60.629921259842526,77.23399878132723,良
EQ-0313,武昌110kV_GIS组合电器_01,GIS组合电器,110kV,武昌110kV变电站,华中,新东北电气,2015-09-04,35,11,rated_current_a=3023.7; sf6_pressure_mpa=0.5,正常运行,0.3142857142857143,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,86.01621621621621,37,4,0.10810810810810811,12,3.4166666666666665,2,0.16666666666666666,0.6704682926829268,0.8242878048780488,59.55121951219512,9363.146341463415,100.0,96.78870235099855,30.328088317887556,76.79189189189188,70.0,81.10236220472441,77.05237813803345,良
EQ-0091,前海110kV_断路器_02,断路器,110kV,前海110kV变电站,华南,沈阳高开,2019-07-23,25,7,rated_current_a=3282.5; breaking_capacity_ka=42.7,正常运行,0.28,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,87.1923076923077,39,4,0.10256410256410256,10,5.0,3,0.3,0.6645658536585366,0.828539024390244,58.81707317073171,10454.512195121952,100.0,96.78870235099855,39.256724918112326,78.21153846153845,46.00000000000001,84.88188976377953,77.0290051994309,良
EQ-0182,杭州滨江110kV_电力变压器_01,电力变压器,110kV,杭州滨江110kV变电站,华东,西门子,2013-08-27,30,13,rated_capacity_mva=211.1; rated_current_a=588.3,正常运行,0.43333333333333335,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,85.31,40,6,0.15,11,3.0,2,0.18181818181818182,0.5931585365853659,0.7393487804878048,59.66097560975609,8948.731707317073,100.0,96.78870235099855,43.03686690312898,70.155,67.27272727272728,67.97900262467192,77.01353684056544,良
EQ-0107,张江110kV_电力变压器_01,电力变压器,110kV,张江110kV变电站,华东,保变电气,2015-01-01,30,11,rated_capacity_mva=175.4; rated_current_a=130.7,正常运行,0.36666666666666664,2.0,12.0,0.0,0.0,2.0,6.0,14754.0,0.9995934959349594,86.27000000000001,40,6,0.15,11,3.8181818181818183,3,0.2727272727272727,0.4917121951219512,0.6159219512195122,55.15609756097561,9804.829268292682,90.9090909090909,77.94328657025001,77.32987960540879,70.635,50.909090909090914,75.32808398950132,77.00087345226372,良
EQ-0333,长沙星沙110kV_断路器_04,断路器,110kV,长沙星沙110kV变电站,华中,西门子,2014-10-09,25,12,rated_current_a=2301.9; breaking_capacity_ka=35.2,正常运行,0.48,1.0,4.5,1.0,1.0,3.0,4.5,29515.5,0.9998475609756098,88.23421052631579,38,2,0.05263157894736842,10,0.0,0,0.0,0.6440390243902439,0.787670731707317,58.81707317073171,9416.439024390244,81.81818181818181,98.56831544356713,37.828601674741506,86.22236842105264,100.0,62.83464566929135,76.95074870829423,良
EQ-0075,南沙110kV_断路器_05,断路器,110kV,南沙110kV变电站,华南,沈阳高开,2015-08-10,25,11,rated_current_a=3907.0; breaking_capacity_ka=59.1,带病运行,0.44,1.0,3.0,0.0,0.0,1.0,3.0,29517.0,0.9998983739837398,87.25121951219512,41,7,0.17073170731707318,9,4.777777777777778,3,0.3333333333333333,0.565029268292683,0.7004268292682927,58.81707317073171,9683.853658536585,100.0,99.19939299974885,55.8267309967287,68.01585365853657,40.0,67.24409448818898,76.9320122968949,良
EQ-0384,重庆两江220kV_电容器组_02,电容器组,35kV,重庆两江220kV变电站,西南,思源电气,2012-07-11,20,14,rated_capacity_mvar=13.5,检修停运,0.7,1.0,13.0,0.0,0.0,1.0,13.0,29507.0,0.999559620596206,87.6842105263158,38,1,0.02631578947368421,10,3.7,2,0.2,0.5867731707317073,0.7352634146341464,58.81707317073171,9012.036585365855,100.0,94.99220929187065,45.75955495902043,89.89473684210526,64.0,38.58267716535434,76.89283109302946,良
EQ-0308,武昌110kV_电容器组_02,电容器组,35kV,武昌110kV变电站,华中,西门子,2013-06-09,20,13,rated_capacity_mvar=30.6,检修停运,0.65,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,88.6,40,5,0.125,10,0.9,1,0.1,0.5999439024390244,0.7559951219512195,58.81707317073171,9012.036585365855,100.0,96.78870235099855,42.52513182337505,75.55,82.0,44.094488188976385,76.80471565377238,良
EQ-0258,天津滨海220kV_断路器_03,断路器,35kV,天津滨海220kV变电站,华北,河南森源,2014-08-11,25,12,rated_current_a=2475.4; breaking_capacity_ka=56.9,正常运行,0.48,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,86.77317073170731,41,3,0.07317073170731707,10,6.9,4,0.4,0.5599,0.6974365853658536,58.81707317073171,9432.829268292682,100.0,96.78870235099855,54.89289458514944,82.4109756097561,28.0,62.83464566929135,76.78143029562216,良
EQ-0059,松山湖220kV_避雷器_01,避雷器,110kV,松山湖220kV变电站,华南,浙江金利华,2010-11-06,20,16,rated_voltage_kv=72.1,检修停运,0.8,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,86.9625,40,8,0.2,9,0.0,0,0.0,0.5665487804878049,0.7051634146341463,58.81707317073171,9012.036585365855,100.0,96.78870235099855,50.573617036595515,63.48125,100.0,27.559055118110237,76.75055688932984,良
EQ-0068,南沙110kV_电力变压器_01,电力变压器,110kV,南沙110kV变电站,华南,ABB,2016-09-14,30,10,rated_capacity_mva=214.1; rated_current_a=587.0,正常运行,0.3333333333333333,1.0,7.6,1.0,1.0,3.0,7.6,29512.4,0.9997425474254743,88.05499999999999,40,3,0.075,10,6.0,4,0.4,0.4935780487804878,0.6108219512195122,60.03414634146342,9537.585365853658,81.81818181818181,97.26408849412489,68.55811743503178,82.7775,28.0,79.00262467191601,76.73587410756838,良
EQ-0246,通州35kV_隔离开关_03,隔离开关,35kV,通州35kV变电站,华北,西门子,2014-05-28,30,12,rated_current_a=1628.5,正常运行,0.4,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,86.95,38,5,0.13157894736842105,10,1.8,1,0.1,0.6643048780487805,0.8227463414634146,58.81707317073171,9012.036585365855,100.0,96.78870235099855,29.75910516822225,73.73815789473684,82.0,71.65354330708661,76.73563951876336,良
EQ-0321,江夏35kV_隔离开关_03,隔离开关,35kV,江夏35kV变电站,华中,西电集团,2009-05-25,30,17,rated_current_a=1835.8,正常运行,0.5666666666666667,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,86.115,40,7,0.175,9,3.4444444444444446,2,0.2222222222222222,0.5462585365853658,0.6867268292682926,58.81707317073171,9012.036585365855,100.0,96.78870235099855,54.368879504130824,66.8075,60.0,53.28083989501313,76.5807253605272,良
EQ-0386,重庆两江220kV_避雷器_01,避雷器,110kV,重庆两江220kV变电站,西南,西门子,2009-12-22,20,17,rated_voltage_kv=73.0,检修停运,0.85,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,84.97567567567567,37,3,0.08108108108108109,10,1.6,1,0.1,0.5734682926829269,0.7181073170731707,58.81707317073171,9012.036585365855,100.0,96.78870235099855,48.69385667128817,80.32567567567568,82.0,22.047244094488207,76.55008756525751,良
EQ-0117,张江110kV_隔离开关_02,隔离开关,110kV,张江110kV变电站,华东,西电集团,2011-10-15,30,15,rated_current_a=3139.4,正常运行,0.5,1.0,7.1,0.0,0.0,1.0,7.1,29512.9,0.999759485094851,88.09024390243901,41,5,0.12195121951219512,10,1.7,1,0.1,0.6497975609756098,0.8140560975609756,58.81707317073171,9012.036585365855,100.0,97.47444767951879,32.077609727363026,75.75243902439024,82.0,60.629921259842526,76.53626946101915,良
EQ-0177,苏州工业园220kV_避雷器_06,避雷器,220kV,苏州工业园220kV变电站,华东,ABB,2010-11-03,20,16,rated_voltage_kv=165.7,带病运行,0.8,1.0,5.4,0.0,0.0,1.0,5.4,29514.6,0.9998170731707317,85.86835443037975,79,9,0.11392405063291139,10,2.6,1,0.1,0.5755926829268293,0.7269073170731707,58.81707317073171,9012.036585365855,100.0,98.18966890985807,47.692269664645174,75.84556962025317,82.0,27.559055118110237,76.50912866974964,良
EQ-0030,龙华220kV_避雷器_04,避雷器,110kV,龙华220kV变电站,华南,西门子,2012-09-12,20,14,rated_voltage_kv=111.7,正常运行,0.7,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,86.845,40,2,0.05,10,2.3,1,0.1,0.6346146341463414,0.7879707317073171,58.81707317073171,9012.036585365855,100.0,96.78870235099855,35.99847789984289,85.9225,82.0,38.58267716535434,76.50407876670373,良
EQ-0432,大连开发区35kV_隔离开关_01,隔离开关,35kV,大连开发区35kV变电站,东北,新东北电气,2004-05-10,30,22,rated_current_a=3032.7,带病运行,0.7333333333333333,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,83.16375000000001,80,11,0.1375,9,2.111111111111111,3,0.3333333333333333,0.4749707317073171,0.5952560975609756,58.81707317073171,9012.036585365855,100.0,96.78870235099855,70.05117295587678,70.956875,40.0,34.90813648293965,76.50231995966904,良
EQ-0401,成都高新35kV_隔离开关_02,隔离开关,35kV,成都高新35kV变电站,西南,河南森源,2014-02-14,30,12,rated_current_a=2050.2,带病运行,0.4,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,86.96410256410256,39,4,0.10256410256410256,11,4.363636363636363,3,0.2727272727272727,0.6102121951219512,0.764060975609756,58.81707317073171,9012.036585365855,100.0,96.78870235099855,40.71566808396793,78.0974358974359,50.909090909090914,71.65354330708661,76.47175289322645,良
EQ-0052,松山湖220kV_隔离开关_02,隔离开关,220kV,松山湖220kV变电站,华南,长征电气,2017-07-16,30,9,rated_current_a=1695.6,正常运行,0.3,1.0,2.8,0.0,0.0,1.0,2.8,29517.2,0.9999051490514905,88.20740740740742,81,9,0.1111111111111111,12,5.75,4,0.3333333333333333,0.6188243902439025,0.7780780487804878,58.81707317073171,9012.036585365855,100.0,99.28353667390643,38.560181588670794,77.43703703703704,40.0,82.67716535433071,76.45201574350408,良
EQ-0119,张江110kV_隔离开关_04,隔离开关,110kV,张江110kV变电站,华东,长征电气,2009-12-10,30,17,rated_current_a=2569.5,带病运行,0.5666666666666667,1.0,13.6,0.0,0.0,1.0,13.6,29506.4,0.9995392953929539,86.7,38,4,0.10526315789473684,9,3.888888888888889,3,0.3333333333333333,0.5359756097560976,0.6613829268292684,58.81707317073171,9012.036585365855,100.0,94.73977826939796,57.69960001147867,77.56052631578947,40.0,53.28083989501313,76.45003859304505,良
EQ-0158,苏州工业园220kV_断路器_06,断路器,220kV,苏州工业园220kV变电站,华东,平高电气,2011-02-17,25,15,rated_current_a=3867.8; breaking_capacity_ka=41.0,正常运行,0.6,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,86.14500000000001,80,11,0.1375,10,2.7,2,0.2,0.5534439024390243,0.6969512195121951,58.81707317073171,8510.073170731708,100.0,96.78870235099855,49.20775352628737,72.4475,64.0,49.60629921259844,76.42704609671705,良
EQ-0350,武侯110kV_断路器_02,断路器,110kV,武侯110kV变电站,西南,西门子,2018-08-06,25,8,rated_current_a=3090.1; breaking_capacity_ka=44.4,正常运行,0.32,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,87.33421052631579,38,5,0.13157894736842105,9,7.111111111111111,3,0.3333333333333333,0.6103219512195122,0.7658682926829269,58.81707317073171,9597.585365853658,100.0,96.78870235099855,44.618517064362045,73.93026315789473,40.0,80.4724409448819,76.41822745124453,良
EQ-0307,武昌110kV_电容器组_01,电容器组,35kV,武昌110kV变电站,华中,九州电气,2011-11-22,20,15,rated_capacity_mvar=7.0,正常运行,0.75,1.0,8.3,0.0,0.0,1.0,8.3,29511.7,0.9997188346883469,85.6825,40,5,0.125,12,4.166666666666667,2,0.16666666666666666,0.5563902439024391,0.6905634146341463,58.81707317073171,9012.036585365855,100.0,96.96958563457339,52.94603288785276,74.09125,70.0,33.07086614173228,76.40389781865846,良
EQ-0149,苏州工业园220kV_电力变压器_02,电力变压器,35kV,苏州工业园220kV变电站,华东,特变电工,2007-07-19,30,19,rated_capacity_mva=144.6; rated_current_a=111.7,检修停运,0.6333333333333333,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,85.61578947368422,38,7,0.18421052631578946,10,4.3,2,0.2,0.5194317073170732,0.6434073170731707,56.224390243902434,7737.634146341464,100.0,96.78870235099855,55.993376987328574,65.17631578947368,64.0,45.93175853018373,76.32603908910485,良
EQ-0234,亦庄110kV_避雷器_04,避雷器,220kV,亦庄110kV变电站,华北,河南久盛,2010-06-21,20,16,rated_voltage_kv=47.0,正常运行,0.8,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,86.43086419753087,81,17,0.20987654320987653,11,3.1818181818181817,2,0.18181818181818182,0.49800243902439023,0.6163048780487804,58.81707317073171,9012.036585365855,100.0,96.78870235099855,65.73246477119747,61.73395061728395,67.27272727272728,27.559055118110237,76.24750425611556,良
EQ-0141,临港110kV_电容器组_01,电容器组,35kV,临港110kV变电站,华东,ABB,2015-07-26,20,11,rated_capacity_mvar=25.7,正常运行,0.55,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,85.6,36,4,0.1111111111111111,12,3.0,3,0.25,0.5864463414634147,0.7222463414634146,58.81707317073171,9012.036585365855,100.0,96.78870235099855,46.939483215537386,76.13333333333333,55.00000000000001,55.118110236220474,76.17744813692924,良
EQ-0092,前海110kV_断路器_03,断路器,110kV,前海110kV变电站,华南,ABB,2020-01-13,25,6,rated_current_a=2216.9; breaking_capacity_ka=58.6,带病运行,0.24,2.0,20.700000000000003,0.0,0.0,2.0,10.350000000000001,14749.65,0.9992987804878048,87.8475,40,6,0.15,11,3.909090909090909,2,0.18181818181818182,0.5617707317073171,0.7014682926829269,58.81707317073171,10142.317073170732,90.9090909090909,76.10824973320375,59.273669927344685,71.42375,67.27272727272728,89.29133858267717,76.17362574492287,良
EQ-0162,苏州工业园220kV_隔离开关_01,隔离开关,220kV,苏州工业园220kV变电站,华东,西电集团,2014-08-08,30,12,rated_current_a=3108.0,正常运行,0.4,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,87.54197530864197,81,9,0.1111111111111111,9,4.777777777777778,2,0.2222222222222222,0.6351268292682927,0.7964926829268292,58.81707317073171,9012.036585365855,100.0,96.78870235099855,35.19405957096161,77.10432098765432,60.0,71.65354330708661,76.12755486324885,良
EQ-0099,前海110kV_电容器组_01,电容器组,10kV,前海110kV变电站,华南,ABB,2016-03-17,20,10,rated_capacity_mvar=22.5,正常运行,0.5,1.0,5.3,0.0,0.0,1.0,5.3,29514.7,0.9998204607046071,86.39736842105263,38,1,0.02631578947368421,10,6.1,3,0.3,0.6318,0.7796219512195122,58.81707317073171,9012.036585365855,100.0,98.23174074693686,37.034323110946325,89.2513157894737,46.00000000000001,60.629921259842526,76.10390226598194,良
EQ-0225,亦庄110kV_隔离开关_02,隔离开关,110kV,亦庄110kV变电站,华北,西门子,2010-05-02,30,16,rated_current_a=1293.0,正常运行,0.5333333333333333,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,87.57179487179488,39,11,0.28205128205128205,9,0.4444444444444444,1,0.1111111111111111,0.559870731707317,0.7013829268292683,58.81707317073171,9012.036585365855,100.0,96.78870235099855,51.62154245308054,51.47820512820513,80.0,56.955380577427825,76.09931778778936,良
EQ-0237,亦庄110kV_GIS组合电器_02,GIS组合电器,110kV,亦庄110kV变电站,华北,西门子,2010-07-10,35,16,rated_current_a=2187.1; sf6_pressure_mpa=0.6,正常运行,0.45714285714285713,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,85.95263157894736,38,5,0.13157894736842105,9,3.0,1,0.1111111111111111,0.6485414634146341,0.8115512195121952,56.541463414634144,8314.878048780487,100.0,96.78870235099855,30.92320316864531,73.23947368421052,80.0,65.35433070866142,76.0637352274265,良
EQ-0215,亦庄110kV_电力变压器_01,电力变压器,110kV,亦庄110kV变电站,华北,西门子,2009-06-14,30,17,rated_capacity_mva=214.6; rated_current_a=139.5,正常运行,0.5666666666666667,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,84.56216216216217,37,4,0.10810810810810811,10,5.4,3,0.3,0.5679975609756097,0.7142121951219512,54.443902439024384,8365.853658536585,100.0,96.78870235099855,51.54721468494556,76.06486486486486,46.00000000000001,53.28083989501313,76.00499712641987,良
EQ-0388,重庆两江220kV_避雷器_03,避雷器,220kV,重庆两江220kV变电站,西南,中国西电,2011-03-18,20,15,rated_voltage_kv=89.0,正常运行,0.75,1.0,5.7,0.0,0.0,1.0,5.7,29514.3,0.9998069105691056,86.9525,80,4,0.05,10,0.4,1,0.1,0.6420121951219513,0.7974829268292684,58.81707317073171,9012.036585365855,100.0,98.06345339862173,34.36934009326523,85.97625,82.0,33.07086614173228,75.89008281255063,良
EQ-0228,亦庄110kV_隔离开关_05,隔离开关,110kV,亦庄110kV变电站,华北,新东北电气,2010-07-04,30,16,rated_current_a=2539.0,带病运行,0.5333333333333333,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,87.59487179487179,39,4,0.10256410256410256,9,2.7777777777777777,1,0.1111111111111111,0.6585439024390244,0.8251024390243903,58.81707317073171,9012.036585365855,100.0,96.78870235099855,30.169042668091883,78.4128205128205,80.0,56.955380577427825,75.84901013848395,良
