设备编号,检修日期,设备类型,所属变电站,检修前_月平均负荷率,检修后_月平均负荷率,月平均负荷率_变化率(%),检修前_月最大负荷率,检修后_月最大负荷率,月最大负荷率_变化率(%),检修前_油温（℃）,检修后_油温（℃）,油温（℃）_变化率(%),检修前_绕组温度（℃）,检修后_绕组温度（℃）,绕组温度（℃）_变化率(%),检修前_绝缘电阻（MΩ）,检修后_绝缘电阻（MΩ）,绝缘电阻（MΩ）_变化率(%),检修前_介质损耗角tanδ,检修后_介质损耗角tanδ,介质损耗角tanδ_变化率(%),检修前_局部放电量（pC）,检修后_局部放电量（pC）,局部放电量（pC）_变化率(%),检修前_SF6气体压力（MPa）,检修后_SF6气体压力（MPa）,SF6气体压力（MPa）_变化率(%)
EQ-0037,2023-06-12 00:00:00,GIS组合电器,龙华220kV变电站,0.572,0.732,28.03,0.712,0.892,25.16,66.9,84.567,26.41,82.733,104.667,26.51,7890.0,7618.667,-3.44,,,,9.567,14.267,49.13,0.496,0.44,-11.16
EQ-0038,2023-06-12 00:00:00,GIS组合电器,龙华220kV变电站,0.542,0.738,36.28,0.663,0.916,38.25,65.5,82.1,25.34,80.867,102.933,27.29,6989.333,7393.0,5.78,,,,11.3,4.833,-57.23,0.475,0.47,-1.12
EQ-0162,2023-07-11 00:00:00,隔离开关,苏州工业园220kV变电站,0.662,0.681,2.77,0.827,0.87,5.22,,,,,,,,,,,,,,,,,,
EQ-0332,2023-06-12 00:00:00,断路器,长沙星沙110kV变电站,0.444,0.611,37.39,0.557,0.762,36.89,,,,,,,8736.333,8700.333,-0.41,,,,,,,0.506,0.487,-3.88
EQ-0035,2023-06-12 00:00:00,GIS组合电器,龙华220kV变电站,0.572,0.75,31.22,0.732,0.906,23.73,71.2,79.767,12.03,89.0,98.833,11.05,7646.0,10043.0,31.35,,,,7.0,8.733,24.76,0.482,0.488,1.25
EQ-0046,2023-06-12 00:00:00,断路器,松山湖220kV变电站,0.603,0.856,41.84,0.751,1.035,37.83,,,,,,,10080.667,8134.0,-19.31,,,,,,,0.506,0.506,-0.07
EQ-0273,2023-07-02 00:00:00,避雷器,天津滨海220kV变电站,0.762,0.74,-2.96,0.973,0.905,-6.96,,,,,,,,,,,,,,,,,,
EQ-0169,2023-07-02 00:00:00,电容器组,苏州工业园220kV变电站,0.624,0.615,-1.55,0.79,0.767,-2.85,,,,,,,,,,0.006,0.005,-12.71,,,,,,
EQ-0354,2023-06-12 00:00:00,隔离开关,武侯110kV变电站,0.452,0.635,40.41,0.584,0.798,36.72,,,,,,,,,,,,,,,,,,
EQ-0280,2023-06-16 00:00:00,GIS组合电器,天津滨海220kV变电站,0.46,0.584,26.86,0.574,0.751,30.89,59.0,67.933,15.14,74.267,84.567,13.87,8326.333,8559.333,2.8,,,,8.9,11.3,26.97,0.485,0.494,1.79
EQ-0030,2023-06-12 00:00:00,避雷器,龙华220kV变电站,0.62,0.797,28.44,0.758,0.961,26.8,,,,,,,,,,,,,,,,,,
EQ-0326,2023-06-12 00:00:00,避雷器,江夏35kV变电站,0.472,0.613,29.98,0.574,0.743,29.6,,,,,,,,,,,,,,,,,,
EQ-0230,2023-06-21 00:00:00,电容器组,亦庄110kV变电站,0.616,0.843,36.8,0.766,1.0,30.64,,,,,,,,,,0.005,0.004,-12.82,,,,,,
EQ-0254,2023-06-12 00:00:00,电力变压器,天津滨海220kV变电站,0.621,0.771,24.04,0.797,0.9,13.01,61.567,74.533,21.06,80.633,95.1,17.94,9783.333,8183.667,-16.35,0.005,0.003,-32.35,5.9,10.333,75.14,,,
EQ-0251,2023-06-12 00:00:00,避雷器,通州35kV变电站,0.534,0.693,29.72,0.685,0.903,31.9,,,,,,,,,,,,,,,,,,
EQ-0071,2023-06-16 00:00:00,断路器,南沙110kV变电站,0.456,0.611,34.17,0.566,0.787,38.88,,,,,,,10715.333,9991.667,-6.75,,,,,,,0.507,0.465,-8.22
EQ-0081,2023-06-12 00:00:00,电容器组,南沙110kV变电站,0.572,0.714,24.75,0.694,0.871,25.59,,,,,,,,,,0.004,0.004,3.71,,,,,,
EQ-0014,2023-06-13 00:00:00,断路器,龙华220kV变电站,0.538,0.68,26.56,0.708,0.852,20.26,,,,,,,8944.333,8559.0,-4.31,,,,,,,0.488,0.509,4.37
EQ-0119,2023-07-05 00:00:00,隔离开关,张江110kV变电站,0.597,0.561,-6.09,0.723,0.678,-6.32,,,,,,,,,,,,,,,,,,
EQ-0427,2023-06-21 00:00:00,电力变压器,大连开发区35kV变电站,0.544,0.675,24.12,0.716,0.858,19.8,55.1,64.067,16.27,70.367,82.267,16.91,8079.333,8232.0,1.89,0.005,0.004,-23.77,13.267,9.033,-31.91,,,
EQ-0019,2023-06-13 00:00:00,隔离开关,龙华220kV变电站,0.676,0.85,25.87,0.862,1.017,17.92,,,,,,,,,,,,,,,,,,
EQ-0399,2023-06-13 00:00:00,断路器,成都高新35kV变电站,0.638,0.782,22.58,0.847,0.921,8.67,,,,,,,9319.0,8382.667,-10.05,,,,,,,0.484,0.481,-0.76
EQ-0104,2023-06-17 00:00:00,避雷器,前海110kV变电站,0.503,0.628,24.88,0.6,0.78,29.96,,,,,,,,,,,,,,,,,,
EQ-0051,2023-07-13 00:00:00,隔离开关,松山湖220kV变电站,0.723,0.752,4.0,0.905,0.934,3.24,,,,,,,,,,,,,,,,,,
EQ-0307,2023-07-10 00:00:00,电容器组,武昌110kV变电站,0.559,0.613,9.77,0.677,0.754,11.42,,,,,,,,,,0.004,0.005,5.2,,,,,,
EQ-0012,2023-06-13 00:00:00,断路器,龙华220kV变电站,0.558,0.711,27.25,0.703,0.894,27.14,,,,,,,8403.0,9158.333,8.99,,,,,,,0.491,0.482,-1.77
EQ-0322,2023-06-13 00:00:00,电容器组,江夏35kV变电站,0.477,0.634,32.96,0.58,0.769,32.6,,,,,,,,,,0.004,0.005,8.68,,,,,,
EQ-0328,2023-06-13 00:00:00,电力变压器,长沙星沙110kV变电站,0.617,0.83,34.58,0.739,1.003,35.71,63.133,75.8,20.06,80.9,96.567,19.37,9992.667,8453.667,-15.4,0.004,0.004,17.82,4.433,7.5,69.17,,,
EQ-0351,2023-06-13 00:00:00,断路器,武侯110kV变电站,0.515,0.687,33.46,0.649,0.869,33.79,,,,,,,9366.0,10490.333,12.0,,,,,,,0.486,0.474,-2.47
EQ-0256,2023-06-13 00:00:00,断路器,天津滨海220kV变电站,0.478,0.637,33.49,0.568,0.813,43.3,,,,,,,8196.333,7664.667,-6.49,,,,,,,0.516,0.477,-7.62
EQ-0182,2023-06-13 00:00:00,电力变压器,杭州滨江110kV变电站,0.581,0.722,24.42,0.714,0.902,26.3,64.4,80.067,24.33,80.8,101.133,25.17,8962.667,7723.667,-13.82,0.003,0.004,35.22,10.767,13.1,21.67,,,
EQ-0365,2023-06-13 00:00:00,电力变压器,重庆两江220kV变电站,0.605,0.778,28.64,0.762,0.956,25.44,66.767,78.033,16.87,83.4,98.633,18.27,7495.667,8209.0,9.52,0.005,0.004,-27.14,9.867,9.233,-6.42,,,
EQ-0074,2023-06-13 00:00:00,断路器,南沙110kV变电站,0.613,0.864,41.01,0.767,1.042,35.86,,,,,,,9217.667,10899.0,18.24,,,,,,,0.472,0.487,3.18
EQ-0338,2023-06-13 00:00:00,隔离开关,长沙星沙110kV变电站,0.509,0.671,31.81,0.636,0.856,34.71,,,,,,,,,,,,,,,,,,
EQ-0377,2023-06-10 00:00:00,隔离开关,重庆两江220kV变电站,0.519,0.719,38.41,0.648,0.913,40.88,,,,,,,,,,,,,,,,,,
EQ-0136,2023-07-07 00:00:00,断路器,临港110kV变电站,0.611,0.631,3.23,0.766,0.756,-1.36,,,,,,,9773.667,10103.333,3.37,,,,,,,0.471,0.51,8.43
EQ-0055,2023-06-08 00:00:00,隔离开关,松山湖220kV变电站,0.532,0.662,24.48,0.638,0.801,25.52,,,,,,,,,,,,,,,,,,
EQ-0180,2023-06-13 00:00:00,GIS组合电器,苏州工业园220kV变电站,0.445,0.603,35.44,0.556,0.723,30.06,59.2,68.767,16.16,74.267,86.867,16.97,9268.0,7581.333,-18.2,,,,13.1,7.6,-41.98,0.47,0.465,-1.06
EQ-0109,2023-06-14 00:00:00,电力变压器,张江110kV变电站,0.624,0.811,29.89,0.786,0.968,23.14,61.6,79.1,28.41,76.867,100.7,31.01,8664.0,9663.0,11.53,0.004,0.005,33.23,9.467,13.667,44.37,,,
EQ-0168,2023-06-27 00:00:00,隔离开关,苏州工业园220kV变电站,0.616,0.807,30.97,0.765,0.982,28.35,,,,,,,,,,,,,,,,,,
EQ-0222,2023-06-14 00:00:00,断路器,亦庄110kV变电站,0.44,0.605,37.59,0.549,0.738,34.57,,,,,,,7914.333,8984.667,13.52,,,,,,,0.502,0.469,-6.64
EQ-0387,2023-06-14 00:00:00,避雷器,重庆两江220kV变电站,0.504,0.663,31.43,0.621,0.807,29.93,,,,,,,,,,,,,,,,,,
EQ-0384,2023-06-14 00:00:00,电容器组,重庆两江220kV变电站,0.534,0.737,38.03,0.677,0.977,44.38,,,,,,,,,,0.004,0.004,21.42,,,,,,
EQ-0380,2023-06-14 00:00:00,隔离开关,重庆两江220kV变电站,0.548,0.673,22.91,0.687,0.822,19.55,,,,,,,,,,,,,,,,,,
EQ-0197,2023-06-14 00:00:00,避雷器,杭州滨江110kV变电站,0.473,0.609,28.67,0.602,0.732,21.7,,,,,,,,,,,,,,,,,,
EQ-0045,2023-07-04 00:00:00,断路器,松山湖220kV变电站,0.646,0.618,-4.45,0.81,0.775,-4.34,,,,,,,9372.0,8551.667,-8.75,,,,,,,0.5,0.473,-5.4
EQ-0085,2023-06-14 00:00:00,避雷器,南沙110kV变电站,0.562,0.749,33.17,0.71,0.969,36.53,,,,,,,,,,,,,,,,,,
EQ-0228,2023-07-09 00:00:00,隔离开关,亦庄110kV变电站,0.726,0.723,-0.37,0.94,0.938,-0.27,,,,,,,,,,,,,,,,,,
EQ-0016,2023-06-14 00:00:00,隔离开关,龙华220kV变电站,0.659,0.84,27.44,0.803,1.009,25.69,,,,,,,,,,,,,,,,,,
EQ-0116,2023-06-14 00:00:00,隔离开关,张江110kV变电站,0.568,0.739,30.01,0.722,0.901,24.72,,,,,,,,,,,,,,,,,,
EQ-0415,2023-06-15 00:00:00,断路器,沈阳浑南110kV变电站,0.469,0.607,29.43,0.576,0.775,34.47,,,,,,,9043.333,10377.333,14.75,,,,,,,0.497,0.498,0.13
EQ-0068,2023-06-15 00:00:00,电力变压器,南沙110kV变电站,0.441,0.583,32.34,0.548,0.698,27.24,64.533,73.467,13.84,76.767,89.733,16.89,8939.667,9007.333,0.76,0.004,0.003,-19.26,7.867,6.233,-20.76,,,
EQ-0349,2023-06-15 00:00:00,断路器,武侯110kV变电站,0.467,0.635,36.11,0.565,0.787,39.21,,,,,,,8599.0,9456.0,9.97,,,,,,,0.511,0.495,-3.2
EQ-0281,2023-06-10 00:00:00,GIS组合电器,天津滨海220kV变电站,0.623,0.811,30.2,0.786,0.972,23.67,63.833,76.633,20.05,81.333,98.833,21.52,7590.667,7383.333,-2.73,,,,15.2,4.333,-71.49,0.5,0.477,-4.67
EQ-0198,2023-06-15 00:00:00,避雷器,杭州滨江110kV变电站,0.605,0.799,31.88,0.733,0.962,31.24,,,,,,,,,,,,,,,,,,
EQ-0389,2023-07-11 00:00:00,避雷器,重庆两江220kV变电站,0.593,0.558,-5.81,0.731,0.716,-1.93,,,,,,,,,,,,,,,,,,
EQ-0005,2023-06-10 00:00:00,电力变压器,龙华220kV变电站,0.507,0.66,30.32,0.66,0.842,27.46,69.433,80.533,15.99,85.9,99.167,15.44,6708.333,7581.333,13.01,0.004,0.005,11.47,13.3,10.767,-19.05,,,
EQ-0232,2023-06-15 00:00:00,避雷器,亦庄110kV变电站,0.575,0.727,26.47,0.737,0.936,26.98,,,,,,,,,,,,,,,,,,
EQ-0244,2023-06-15 00:00:00,隔离开关,通州35kV变电站,0.587,0.792,34.8,0.74,0.972,31.41,,,,,,,,,,,,,,,,,,
EQ-0372,2023-06-15 00:00:00,断路器,重庆两江220kV变电站,0.517,0.694,34.28,0.622,0.886,42.49,,,,,,,9274.0,9329.667,0.6,,,,,,,0.47,0.525,11.55
EQ-0253,2023-06-09 00:00:00,电力变压器,天津滨海220kV变电站,0.472,0.652,38.07,0.586,0.785,33.97,57.367,67.167,17.08,71.2,85.833,20.55,9271.667,8339.667,-10.05,0.004,0.005,21.95,11.067,11.833,6.93,,,
EQ-0166,2023-06-16 00:00:00,隔离开关,苏州工业园220kV变电站,0.478,0.657,37.62,0.584,0.821,40.53,,,,,,,,,,,,,,,,,,
EQ-0429,2023-06-16 00:00:00,断路器,大连开发区35kV变电站,0.577,0.743,28.79,0.725,0.935,29.02,,,,,,,7258.667,7075.667,-2.52,,,,,,,0.478,0.486,1.81
EQ-0431,2023-06-16 00:00:00,断路器,大连开发区35kV变电站,0.649,0.872,34.46,0.82,1.034,26.17,,,,,,,7177.333,8899.667,24.0,,,,,,,0.455,0.506,11.05
EQ-0148,2023-06-16 00:00:00,电力变压器,苏州工业园220kV变电站,0.55,0.725,31.9,0.696,0.851,22.23,63.633,77.3,21.48,81.567,95.133,16.63,8322.0,9222.667,10.82,0.006,0.004,-18.9,10.633,10.567,-0.63,,,
EQ-0213,2023-06-16 00:00:00,避雷器,昆山35kV变电站,0.509,0.66,29.77,0.63,0.829,31.64,,,,,,,,,,,,,,,,,,
EQ-0373,2023-06-30 00:00:00,断路器,重庆两江220kV变电站,0.596,0.783,31.24,0.739,0.977,32.17,,,,,,,9142.0,7073.333,-22.63,,,,,,,0.508,0.488,-3.93
EQ-0398,2023-06-16 00:00:00,断路器,成都高新35kV变电站,0.569,0.766,34.64,0.743,0.927,24.73,,,,,,,10978.333,8852.333,-19.37,,,,,,,0.482,0.476,-1.11
EQ-0339,2023-06-16 00:00:00,电容器组,长沙星沙110kV变电站,0.56,0.754,34.63,0.674,0.955,41.67,,,,,,,,,,0.005,0.003,-30.39,,,,,,
EQ-0235,2023-06-16 00:00:00,避雷器,亦庄110kV变电站,0.495,0.64,29.23,0.629,0.806,28.24,,,,,,,,,,,,,,,,,,
EQ-0310,2023-06-16 00:00:00,避雷器,武昌110kV变电站,0.491,0.585,19.18,0.595,0.705,18.44,,,,,,,,,,,,,,,,,,
EQ-0223,2023-06-16 00:00:00,断路器,亦庄110kV变电站,0.52,0.667,28.21,0.676,0.845,24.95,,,,,,,8613.0,9420.333,9.37,,,,,,,0.491,0.486,-0.88
EQ-0073,2023-06-16 00:00:00,断路器,南沙110kV变电站,0.525,0.688,30.98,0.656,0.903,37.53,,,,,,,12340.667,9291.0,-24.71,,,,,,,0.514,0.506,-1.69
EQ-0017,2023-06-16 00:00:00,隔离开关,龙华220kV变电站,0.658,0.819,24.49,0.834,0.996,19.44,,,,,,,,,,,,,,,,,,
EQ-0112,2023-06-17 00:00:00,断路器,张江110kV变电站,0.543,0.691,27.4,0.656,0.833,26.92,,,,,,,8036.667,8954.333,11.42,,,,,,,0.507,0.489,-3.55
EQ-0200,2023-06-17 00:00:00,GIS组合电器,杭州滨江110kV变电站,0.447,0.572,27.94,0.539,0.733,35.95,61.833,68.067,10.08,77.4,83.667,8.1,7294.0,8911.667,22.18,,,,5.7,6.567,15.2,0.495,0.472,-4.51
EQ-0316,2023-06-17 00:00:00,断路器,江夏35kV变电站,0.611,0.839,37.27,0.798,1.032,29.34,,,,,,,7415.333,8001.0,7.9,,,,,,,0.476,0.472,-0.77
EQ-0343,2023-06-17 00:00:00,避雷器,长沙星沙110kV变电站,0.6,0.825,37.55,0.769,1.008,31.04,,,,,,,,,,,,,,,,,,
EQ-0438,2023-06-17 00:00:00,避雷器,大连开发区35kV变电站,0.552,0.68,23.07,0.684,0.839,22.68,,,,,,,,,,,,,,,,,,
EQ-0303,2023-06-17 00:00:00,隔离开关,武昌110kV变电站,0.553,0.696,26.02,0.724,0.904,24.83,,,,,,,,,,,,,,,,,,
EQ-0408,2023-06-17 00:00:00,电力变压器,沈阳浑南110kV变电站,0.607,0.821,35.27,0.758,1.044,37.8,57.467,71.633,24.65,73.233,91.867,25.44,8471.0,8645.0,2.05,0.003,0.006,78.84,10.3,11.067,7.44,,,
EQ-0117,2023-06-17 00:00:00,隔离开关,张江110kV变电站,0.575,0.849,47.58,0.758,1.021,34.69,,,,,,,,,,,,,,,,,,
EQ-0433,2023-06-17 00:00:00,隔离开关,大连开发区35kV变电站,0.438,0.569,29.75,0.547,0.735,34.39,,,,,,,,,,,,,,,,,,
EQ-0189,2023-06-17 00:00:00,断路器,杭州滨江110kV变电站,0.51,0.709,38.91,0.656,0.846,28.92,,,,,,,9430.667,7923.667,-15.98,,,,,,,0.526,0.478,-9.07
EQ-0292,2023-06-21 00:00:00,避雷器,石家庄高新35kV变电站,0.523,0.631,20.79,0.653,0.771,18.06,,,,,,,,,,,,,,,,,,
EQ-0018,2023-06-17 00:00:00,隔离开关,龙华220kV变电站,0.471,0.661,40.21,0.618,0.785,27.1,,,,,,,,,,,,,,,,,,
EQ-0025,2023-06-21 00:00:00,电容器组,龙华220kV变电站,0.622,0.784,26.05,0.792,0.979,23.55,,,,,,,,,,0.005,0.005,14.89,,,,,,
EQ-0219,2023-07-13 00:00:00,断路器,亦庄110kV变电站,0.701,0.742,5.95,0.855,0.914,6.85,,,,,,,7685.667,8665.333,12.75,,,,,,,0.502,0.49,-2.46
EQ-0258,2023-06-18 00:00:00,断路器,天津滨海220kV变电站,0.52,0.657,26.48,0.641,0.81,26.52,,,,,,,8867.667,9606.333,8.33,,,,,,,0.487,0.501,2.95
EQ-0330,2023-06-18 00:00:00,断路器,长沙星沙110kV变电站,0.644,0.804,24.8,0.808,1.011,25.18,,,,,,,10245.667,10096.333,-1.46,,,,,,,0.486,0.471,-2.95
EQ-0062,2023-06-18 00:00:00,避雷器,松山湖220kV变电站,0.471,0.618,31.13,0.605,0.766,26.57,,,,,,,,,,,,,,,,,,
EQ-0346,2023-07-03 00:00:00,电力变压器,武侯110kV变电站,0.644,0.618,-4.09,0.824,0.753,-8.61,71.433,67.933,-4.9,90.567,83.667,-7.62,8198.0,9292.0,13.34,0.005,0.005,-8.15,9.533,5.5,-42.31,,,
EQ-0345,2023-06-18 00:00:00,GIS组合电器,长沙星沙110kV变电站,0.584,0.759,30.03,0.734,0.947,28.98,62.333,76.567,22.83,77.667,94.833,22.1,9357.0,8379.333,-10.45,,,,8.467,12.467,47.24,0.49,0.473,-3.54
EQ-0070,2023-06-18 00:00:00,电力变压器,南沙110kV变电站,0.522,0.717,37.38,0.649,0.9,38.57,67.2,78.167,16.32,84.233,97.833,16.15,8520.333,10678.333,25.33,0.005,0.005,-9.72,7.267,8.167,12.39,,,
EQ-0306,2023-06-18 00:00:00,隔离开关,武昌110kV变电站,0.527,0.71,34.56,0.645,0.891,38.06,,,,,,,,,,,,,,,,,,
EQ-0337,2023-06-18 00:00:00,隔离开关,长沙星沙110kV变电站,0.615,0.759,23.4,0.743,0.934,25.61,,,,,,,,,,,,,,,,,,
EQ-0087,2023-06-18 00:00:00,电力变压器,前海110kV变电站,0.542,0.727,34.34,0.686,0.955,39.16,65.033,81.233,24.91,82.4,103.3,25.36,7568.667,8371.333,10.61,0.004,0.004,-5.18,4.8,8.067,68.06,,,
EQ-0137,2023-07-11 00:00:00,隔离开关,临港110kV变电站,0.576,0.568,-1.33,0.693,0.709,2.24,,,,,,,,,,,,,,,,,,
EQ-0331,2023-06-18 00:00:00,断路器,长沙星沙110kV变电站,0.5,0.677,35.47,0.649,0.818,26.01,,,,,,,8908.667,10096.0,13.33,,,,,,,0.479,0.517,8.0
EQ-0350,2023-06-18 00:00:00,断路器,武侯110kV变电站,0.556,0.772,38.75,0.696,0.942,35.37,,,,,,,9719.0,9152.0,-5.83,,,,,,,0.514,0.447,-12.97
EQ-0077,2023-06-18 00:00:00,隔离开关,南沙110kV变电站,0.589,0.768,30.35,0.693,0.935,34.89,,,,,,,,,,,,,,,,,,
EQ-0140,2023-06-19 00:00:00,隔离开关,临港110kV变电站,0.507,0.667,31.57,0.617,0.806,30.63,,,,,,,,,,,,,,,,,,
EQ-0107,2023-06-19 00:00:00,电力变压器,张江110kV变电站,0.445,0.585,31.55,0.542,0.738,36.12,60.7,72.5,19.44,75.5,90.267,19.56,8757.667,8645.667,-1.28,0.004,0.004,12.79,11.3,5.033,-55.46,,,
EQ-0179,2023-06-19 00:00:00,GIS组合电器,苏州工业园220kV变电站,0.59,0.78,32.08,0.749,0.981,30.98,66.0,79.5,20.45,83.533,98.9,18.4,7915.333,8629.0,9.02,,,,11.967,12.967,8.36,0.493,0.476,-3.51
EQ-0394,2023-06-19 00:00:00,GIS组合电器,重庆两江220kV变电站,0.611,0.882,44.31,0.744,1.028,38.18,65.533,81.133,23.8,83.133,101.333,21.89,8829.0,7498.667,-15.07,,,,10.833,10.6,-2.15,0.501,0.46,-8.18
EQ-0267,2023-06-14 00:00:00,隔离开关,天津滨海220kV变电站,0.521,0.664,27.5,0.638,0.828,29.82,,,,,,,,,,,,,,,,,,
EQ-0308,2023-06-19 00:00:00,电容器组,武昌110kV变电站,0.56,0.738,31.68,0.692,0.907,31.15,,,,,,,,,,0.004,0.003,-16.74,,,,,,
EQ-0111,2023-06-19 00:00:00,断路器,张江110kV变电站,0.57,0.718,26.12,0.715,0.902,26.21,,,,,,,9711.667,8655.333,-10.88,,,,,,,0.481,0.519,7.9
EQ-0324,2023-06-14 00:00:00,避雷器,江夏35kV变电站,0.642,0.78,21.38,0.807,0.922,14.23,,,,,,,,,,,,,,,,,,
EQ-0199,2023-06-19 00:00:00,避雷器,杭州滨江110kV变电站,0.63,0.841,33.51,0.762,1.013,32.87,,,,,,,,,,,,,,,,,,
EQ-0028,2023-06-19 00:00:00,避雷器,龙华220kV变电站,0.608,0.802,32.04,0.739,0.976,32.14,,,,,,,,,,,,,,,,,,
EQ-0064,2023-06-23 00:00:00,避雷器,松山湖220kV变电站,0.679,0.844,24.33,0.877,1.038,18.42,,,,,,,,,,,,,,,,,,
EQ-0227,2023-06-19 00:00:00,隔离开关,亦庄110kV变电站,0.627,0.853,35.93,0.776,1.049,35.14,,,,,,,,,,,,,,,,,,
EQ-0184,2023-06-19 00:00:00,电力变压器,杭州滨江110kV变电站,0.584,0.86,47.34,0.735,1.032,40.35,68.967,82.967,20.3,86.533,104.833,21.15,9509.667,8978.667,-5.58,0.003,0.003,0.88,11.133,12.067,8.38,,,
EQ-0381,2023-06-29 00:00:00,隔离开关,重庆两江220kV变电站,0.63,0.838,33.01,0.795,1.034,29.96,,,,,,,,,,,,,,,,,,
EQ-0052,2023-06-19 00:00:00,隔离开关,松山湖220kV变电站,0.565,0.764,35.26,0.747,0.97,29.82,,,,,,,,,,,,,,,,,,
EQ-0108,2023-07-18 00:00:00,电力变压器,张江110kV变电站,0.776,0.761,-1.96,0.916,0.911,-0.51,74.4,73.267,-1.52,93.2,92.367,-0.89,8328.0,8983.0,7.87,0.004,0.003,-25.02,9.033,8.233,-8.86,,,
EQ-0412,2023-06-19 00:00:00,断路器,沈阳浑南110kV变电站,0.565,0.736,30.32,0.711,0.893,25.61,,,,,,,8306.667,9714.0,16.94,,,,,,,0.478,0.486,1.67
EQ-0086,2023-06-20 00:00:00,GIS组合电器,南沙110kV变电站,0.589,0.764,29.68,0.734,0.944,28.58,70.133,79.167,12.88,88.567,99.633,12.5,10283.333,9734.667,-5.34,,,,8.067,9.567,18.6,0.512,0.468,-8.47
EQ-0293,2023-06-20 00:00:00,避雷器,石家庄高新35kV变电站,0.564,0.748,32.72,0.687,0.963,40.16,,,,,,,,,,,,,,,,,,
EQ-0271,2023-06-20 00:00:00,电容器组,天津滨海220kV变电站,0.528,0.671,27.0,0.681,0.853,25.19,,,,,,,,,,0.005,0.006,14.56,,,,,,
EQ-0078,2023-06-20 00:00:00,隔离开关,南沙110kV变电站,0.634,0.834,31.43,0.819,0.981,19.78,,,,,,,,,,,,,,,,,,
EQ-0237,2023-06-20 00:00:00,GIS组合电器,亦庄110kV变电站,0.577,0.788,36.67,0.731,0.981,34.2,60.967,69.833,14.54,77.233,89.133,15.41,7713.0,8619.0,11.75,,,,11.233,9.3,-17.21,0.472,0.482,2.05
EQ-0220,2023-06-20 00:00:00,断路器,亦庄110kV变电站,0.617,0.863,39.85,0.77,1.023,32.89,,,,,,,8880.333,8155.333,-8.16,,,,,,,0.485,0.503,3.71
EQ-0004,2023-06-15 00:00:00,电力变压器,龙华220kV变电站,0.549,0.729,32.71,0.677,0.931,37.57,66.667,79.933,19.9,82.933,98.267,18.49,8947.0,9037.0,1.01,0.004,0.004,18.42,7.833,9.2,17.45,,,
EQ-0259,2023-07-13 00:00:00,断路器,天津滨海220kV变电站,0.529,0.539,1.88,0.695,0.696,0.06,,,,,,,7104.0,9322.333,31.23,,,,,,,0.501,0.489,-2.53
EQ-0437,2023-06-15 00:00:00,避雷器,大连开发区35kV变电站,0.498,0.652,30.89,0.643,0.856,32.99,,,,,,,,,,,,,,,,,,
EQ-0270,2023-06-20 00:00:00,电容器组,天津滨海220kV变电站,0.553,0.745,34.64,0.723,0.936,29.47,,,,,,,,,,0.004,0.005,18.97,,,,,,
EQ-0115,2023-06-20 00:00:00,断路器,张江110kV变电站,0.532,0.673,26.44,0.673,0.886,31.61,,,,,,,6995.333,9614.0,37.43,,,,,,,0.465,0.489,5.31
EQ-0366,2023-06-20 00:00:00,电力变压器,重庆两江220kV变电站,0.513,0.705,37.39,0.636,0.899,41.36,58.167,71.0,22.06,75.033,90.9,21.15,8580.667,7793.0,-9.18,0.005,0.005,-0.95,13.1,7.367,-43.77,,,
EQ-0278,2023-07-20 00:00:00,避雷器,天津滨海220kV变电站,0.559,0.544,-2.7,0.696,0.662,-4.97,,,,,,,,,,,,,,,,,,
EQ-0430,2023-06-18 00:00:00,断路器,大连开发区35kV变电站,0.561,0.752,33.9,0.664,0.958,44.16,,,,,,,9675.667,6742.333,-30.32,,,,,,,0.5,0.506,1.13
EQ-0141,2023-06-20 00:00:00,电容器组,临港110kV变电站,0.543,0.709,30.54,0.672,0.896,33.27,,,,,,,,,,0.003,0.004,27.03,,,,,,
EQ-0396,2023-07-05 00:00:00,电力变压器,成都高新35kV变电站,0.593,0.606,2.22,0.753,0.755,0.22,73.367,65.433,-10.81,89.267,82.233,-7.88,9043.667,7238.667,-19.96,0.004,0.004,2.11,7.0,8.133,16.19,,,
EQ-0435,2023-06-27 00:00:00,电容器组,大连开发区35kV变电站,0.502,0.649,29.06,0.637,0.798,25.2,,,,,,,,,,0.005,0.004,-25.64,,,,,,
EQ-0216,2023-06-21 00:00:00,电力变压器,亦庄110kV变电站,0.623,0.837,34.46,0.794,1.001,26.19,60.833,78.033,28.27,77.7,99.1,27.54,9372.0,9733.667,3.86,0.004,0.005,16.39,11.2,9.633,-13.99,,,
EQ-0066,2023-06-21 00:00:00,GIS组合电器,松山湖220kV变电站,0.461,0.617,33.84,0.537,0.763,41.98,65.433,75.1,14.77,81.333,93.2,14.59,9892.333,9332.333,-5.66,,,,9.233,9.833,6.5,0.466,0.507,8.8
EQ-0083,2023-06-21 00:00:00,避雷器,南沙110kV变电站,0.65,0.8,22.95,0.823,0.978,18.82,,,,,,,,,,,,,,,,,,
EQ-0206,2023-06-21 00:00:00,断路器,昆山35kV变电站,0.616,0.828,34.34,0.735,1.023,39.15,,,,,,,7525.333,9519.0,26.49,,,,,,,0.455,0.47,3.45
EQ-0110,2023-07-19 00:00:00,断路器,张江110kV变电站,0.583,0.557,-4.44,0.743,0.709,-4.59,,,,,,,7396.667,10267.333,38.81,,,,,,,0.464,0.494,6.46
