设备编号,平均评分,最低评分,最高评分,巡检次数,设备类型,所属变电站
EQ-0346,87.83947368421053,74.8,99.4,38,电力变压器,武侯110kV变电站
EQ-0347,86.43076923076923,70.9,100.0,39,电力变压器,武侯110kV变电站
EQ-0348,87.9025,75.3,100.0,40,电力变压器,武侯110kV变电站
EQ-0349,86.96315789473684,72.7,99.2,38,断路器,武侯110kV变电站
EQ-0350,87.33421052631579,78.0,99.6,38,断路器,武侯110kV变电站
EQ-0351,87.49473684210527,73.3,99.1,38,断路器,武侯110kV变电站
EQ-0352,86.27837837837838,72.1,96.4,37,断路器,武侯110kV变电站
EQ-0353,88.04594594594595,74.1,100.0,37,断路器,武侯110kV变电站
EQ-0354,86.43589743589743,68.7,100.0,39,隔离开关,武侯110kV变电站
EQ-0355,86.7945945945946,71.4,100.0,37,隔离开关,武侯110kV变电站
EQ-0356,87.57027027027027,77.0,98.7,37,隔离开关,武侯110kV变电站
EQ-0357,86.785,69.5,98.3,40,隔离开关,武侯110kV变电站
EQ-0358,87.16749999999999,72.9,100.0,40,电容器组,武侯110kV变电站
EQ-0359,87.405,78.0,98.5,40,电容器组,武侯110kV变电站
EQ-0360,86.7125,75.6,97.3,40,避雷器,武侯110kV变电站
EQ-0361,84.66341463414633,69.2,96.4,41,避雷器,武侯110kV变电站
EQ-0362,84.875,68.0,95.5,40,避雷器,武侯110kV变电站
EQ-0363,84.31052631578947,70.9,95.6,38,避雷器,武侯110kV变电站
EQ-0364,87.09210526315789,70.0,100.0,38,GIS组合电器,武侯110kV变电站
EQ-0365,86.12820512820512,70.0,100.0,78,电力变压器,重庆两江220kV变电站
EQ-0366,86.92125,68.4,100.0,80,电力变压器,重庆两江220kV变电站
EQ-0367,86.57000000000001,73.1,100.0,80,电力变压器,重庆两江220kV变电站
EQ-0368,86.08421052631579,70.2,100.0,38,电力变压器,重庆两江220kV变电站
EQ-0369,86.1425,73.4,100.0,80,断路器,重庆两江220kV变电站
EQ-0370,85.24864864864864,73.0,94.5,37,断路器,重庆两江220kV变电站
EQ-0371,86.55696202531645,69.7,97.1,79,断路器,重庆两江220kV变电站
EQ-0372,85.83157894736841,66.7,99.8,38,断路器,重庆两江220kV变电站
EQ-0373,87.62784810126583,73.7,100.0,79,断路器,重庆两江220kV变电站
EQ-0374,86.91111111111111,71.1,100.0,81,断路器,重庆两江220kV变电站
EQ-0375,86.0078947368421,71.4,100.0,38,断路器,重庆两江220kV变电站
EQ-0376,87.82368421052632,74.9,100.0,38,断路器,重庆两江220kV变电站
EQ-0377,85.99625,69.9,100.0,80,隔离开关,重庆两江220kV变电站
EQ-0378,87.0525641025641,71.6,100.0,78,隔离开关,重庆两江220kV变电站
EQ-0379,85.22317073170731,71.5,99.5,82,隔离开关,重庆两江220kV变电站
EQ-0380,88.46410256410256,65.6,100.0,78,隔离开关,重庆两江220kV变电站
EQ-0381,87.62345679012346,74.9,100.0,81,隔离开关,重庆两江220kV变电站
EQ-0382,86.72307692307692,71.0,98.6,78,隔离开关,重庆两江220kV变电站
EQ-0383,86.55263157894737,73.3,100.0,38,电容器组,重庆两江220kV变电站
EQ-0384,87.6842105263158,78.9,100.0,38,电容器组,重庆两江220kV变电站
EQ-0385,86.6051282051282,72.0,97.3,39,电容器组,重庆两江220kV变电站
EQ-0386,84.97567567567567,73.2,96.5,37,避雷器,重庆两江220kV变电站
EQ-0387,86.54683544303798,68.6,100.0,79,避雷器,重庆两江220kV变电站
EQ-0388,86.9525,70.0,100.0,80,避雷器,重庆两江220kV变电站
EQ-0389,87.8379746835443,74.8,100.0,79,避雷器,重庆两江220kV变电站
EQ-0390,87.00126582278482,74.1,100.0,79,避雷器,重庆两江220kV变电站
EQ-0391,86.44197530864197,70.6,100.0,81,避雷器,重庆两江220kV变电站
EQ-0392,85.74512195121952,69.1,100.0,82,GIS组合电器,重庆两江220kV变电站
EQ-0393,86.05679012345679,59.4,100.0,81,GIS组合电器,重庆两江220kV变电站
EQ-0394,85.33536585365853,72.7,100.0,82,GIS组合电器,重庆两江220kV变电站
EQ-0395,87.5525641025641,74.4,100.0,78,电力变压器,成都高新35kV变电站
EQ-0396,85.58461538461539,72.0,93.4,39,电力变压器,成都高新35kV变电站
EQ-0397,88.97749999999999,78.1,97.4,40,断路器,成都高新35kV变电站
EQ-0398,86.02564102564102,71.4,95.5,39,断路器,成都高新35kV变电站
EQ-0399,85.42439024390244,68.7,99.3,41,断路器,成都高新35kV变电站
EQ-0400,86.6275,74.6,100.0,40,隔离开关,成都高新35kV变电站
EQ-0401,86.96410256410256,69.8,99.2,39,隔离开关,成都高新35kV变电站
EQ-0402,87.54556962025318,70.5,100.0,79,隔离开关,成都高新35kV变电站
EQ-0403,86.98205128205129,73.1,94.7,39,电容器组,成都高新35kV变电站
EQ-0404,87.88717948717948,73.1,100.0,39,电容器组,成都高新35kV变电站
EQ-0405,88.71315789473684,74.2,100.0,38,避雷器,成都高新35kV变电站
EQ-0406,87.77073170731707,72.8,100.0,41,避雷器,成都高新35kV变电站
EQ-0407,89.38055555555555,75.3,100.0,36,避雷器,成都高新35kV变电站
EQ-0408,87.47,64.0,100.0,40,电力变压器,沈阳浑南110kV变电站
EQ-0409,88.41,68.1,100.0,40,电力变压器,沈阳浑南110kV变电站
EQ-0410,87.69024390243902,72.1,99.0,41,电力变压器,沈阳浑南110kV变电站
EQ-0411,85.86410256410257,62.5,97.9,39,断路器,沈阳浑南110kV变电站
EQ-0412,87.785,76.0,100.0,40,断路器,沈阳浑南110kV变电站
EQ-0413,84.5,68.6,100.0,41,断路器,沈阳浑南110kV变电站
EQ-0414,84.71052631578948,67.1,100.0,38,断路器,沈阳浑南110kV变电站
EQ-0415,87.4625,73.9,100.0,40,断路器,沈阳浑南110kV变电站
EQ-0416,85.55316455696202,65.5,100.0,79,隔离开关,沈阳浑南110kV变电站
EQ-0417,86.40975609756099,64.7,97.6,41,隔离开关,沈阳浑南110kV变电站
EQ-0418,89.15,73.8,100.0,36,隔离开关,沈阳浑南110kV变电站
EQ-0419,84.56052631578947,75.0,100.0,38,隔离开关,沈阳浑南110kV变电站
EQ-0420,86.86923076923077,74.0,100.0,39,电容器组,沈阳浑南110kV变电站
EQ-0421,83.4054054054054,62.7,100.0,37,电容器组,沈阳浑南110kV变电站
EQ-0422,87.90263157894738,77.8,100.0,38,避雷器,沈阳浑南110kV变电站
EQ-0423,87.3578947368421,75.5,100.0,38,避雷器,沈阳浑南110kV变电站
EQ-0424,86.73974358974358,74.5,100.0,78,避雷器,沈阳浑南110kV变电站
EQ-0425,85.37435897435897,73.9,95.3,39,避雷器,沈阳浑南110kV变电站
EQ-0426,85.3275,73.8,100.0,40,GIS组合电器,沈阳浑南110kV变电站
EQ-0427,83.95802469135803,64.9,98.3,81,电力变压器,大连开发区35kV变电站
EQ-0428,85.95,69.9,100.0,38,电力变压器,大连开发区35kV变电站
EQ-0429,85.7560975609756,72.1,99.4,41,断路器,大连开发区35kV变电站
EQ-0430,83.85945945945946,72.0,100.0,37,断路器,大连开发区35kV变电站
EQ-0431,83.3641975308642,67.8,100.0,81,断路器,大连开发区35kV变电站
EQ-0432,83.16375000000001,64.8,96.4,80,隔离开关,大连开发区35kV变电站
EQ-0433,81.65875,67.5,99.7,80,隔离开关,大连开发区35kV变电站
EQ-0434,83.6632911392405,64.7,99.1,79,隔离开关,大连开发区35kV变电站
EQ-0435,84.85249999999999,73.3,95.6,40,电容器组,大连开发区35kV变电站
EQ-0436,85.1025641025641,71.4,97.1,39,电容器组,大连开发区35kV变电站
EQ-0437,83.35061728395061,69.2,97.7,81,避雷器,大连开发区35kV变电站
EQ-0438,82.1425,66.0,96.5,40,避雷器,大连开发区35kV变电站
EQ-0439,84.65945945945946,74.5,100.0,37,避雷器,大连开发区35kV变电站
